Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:winner_txt,获胜者,,,,,,
NETMESSAGE:Box Break selected!,箱子破坏已选择！,,,,,,
NETMESSAGE:Strafe Race selected!,平移竞速已选择！,,,,,,
NETMESSAGE:Mushroom Mix-Up selected!,蘑菇混战已选择！,,,,,,
NETMESSAGE:Platform Peril selected!,平台危机已选择！,,,,,,
NETMESSAGE:Bumper Gordons selected!,弹力戈登已选择！,,,,,,
NETMESSAGE:Random Minigame Mode activated!,随机小游戏模式已激活！,,,,,,
NETMESSAGE:Tor Boosters selected!,Tor助推器已选择！,,,,,,
NETMESSAGE:Escape selected!,逃脱已选择！,,,,,,
NETMESSAGE:Treasure divers selected!,宝藏潜水员已选择！,,,,,,
NETMESSAGE:spaces_txt,空格,,,,,,
NETMESSAGE:WRONG WAY!!!,错误方向！！！,,,,,,
NETMESSAGE:You paid 10 points to cross the bridge,你支付了10点来通过桥梁,,,,,,
NETMESSAGE:You don't have enough points to cross this bridge!,你没有足够的点数通过这座桥！,,,,,,
NETMESSAGE:You got 5 points!,你获得了5点！,,,,,,
NETMESSAGE:You lost 5 points!,你失去了5点！,,,,,,
NETMESSAGE:You have joined late to a board game\nYou will be entered into the game on the next round.,你加入了一个棋盘游戏晚了\n你将在下一回合进入游戏。,,,,,,
NETMESSAGE:That's game over folks!\nTime to select this game's winner!,游戏结束了各位！\n是时候选择这个游戏的胜者了！,,,,,,
NETMESSAGE:NOPE,不行！,,,,,,
NETMESSAGE:~~~YES~~~\n,~~~是的~~~\n,,,,,,
NETMESSAGE:event started,事件已开始,,,,,,
NETMESSAGE:Depression Danny:\nhey.... did you want something?\nUgh... why do I even exist...,抑郁丹尼：\n嘿....你想要什么？\n呃...我为什么存在...,,,,,,
NETMESSAGE:Depression Danny:\nI'm just so sad...\ncan you help me?,抑郁丹尼：\n我好难过...\n你能帮我吗？,,,,,,
NETMESSAGE:Depression Danny:\nMy life has been in a downward spiral\never since Samantha dumped me.,抑郁丹尼：\n我的生活一直走下坡路\n自从萨曼莎甩了我之后。,,,,,,
NETMESSAGE:Depression Danny:\nWhat's the point in living? I have no purpose.,抑郁丹尼：\n活着有什么意义？我没有目标。,,,,,,
NETMESSAGE:Depression Danny:\nI actually feel pretty good right now.\nJust kidding.,抑郁丹尼：\n我现在感觉还挺好的。\n开玩笑的。,,,,,,
NETMESSAGE:Depression Danny:\nI just don't feel like doing anything.\n,抑郁丹尼：\n我就是什么都不想做。\n,,,,,,
NETMESSAGE:Depression Danny:\n*stares until the situation becomes awkward*,抑郁丹尼：\n*盯着你直到气氛变得尴尬*,,,,,,
NETMESSAGE:Depression Danny:\nYou're only here because you were forced.\nNobody visits me just to hang out...,抑郁丹尼：\n你只是被迫才来的。\n没人会专门来看我...,,,,,,
NETMESSAGE:Tropical Trevor:\nWhat great weather we're having.\nI think might have to take off my metal diaper.,热带特雷弗：\n天气真好啊。\n我想我得脱下我的金属尿布了。,,,,,,
NETMESSAGE:Tropical Trevor:\nHow do you like my island?\nYOU LOVE IT?? OMG ME TOO!!!,热带特雷弗：\n你觉得我的岛怎么样？\n你超爱它？？天哪我也是！！！,,,,,,
NETMESSAGE:Tropical Trevor:\nEVERYTHING IS GREAT.\nEVEN CAPS LOCK IS ON!,热带特雷弗：\n一切都太棒了。\n连大写锁定都开着！,,,,,,
"NETMESSAGE:Tropical Trevor:\nIf I had an animation for hugging you,\nI would play it in reverse.",热带特雷弗：\n如果我有拥抱你的动画，\n我会倒着播放它。,,,,,,
NETMESSAGE:Tropical Trevor:\nYou have such a creative username.\nI'll bet the other players are jealous!,热带特雷弗：\n你的用户名真有创意。\n我敢打赌其他玩家都嫉妒了！,,,,,,
NETMESSAGE:Tropical Trevor:\nUninstall steam and kill yourself.\n,热带特雷弗：\n卸载steam然后自杀吧。\n,,,,,,
NETMESSAGE:Tropical Trevor:\nI'm so happy you came to see me!\nWe should go dancing.,热带特雷弗：\n我真高兴你来看我！\n我们应该去跳舞。,,,,,,
NETMESSAGE:Tropical Trevor:\nYou're generally better\nthan everyone else.,热带特雷弗：\n你通常比其他人都好。,,,,,,
"NETMESSAGE:Sneaky Samantha:\nUgh, I couldn't get much.\nI must be getting rusty.",狡猾萨曼莎：\n呃，我没拿到多少。\n我一定是生疏了。,,,,,,
NETMESSAGE:Sneaky Samantha:\nI couldn't steal anything from that guy!\nHe's too much man for me~,狡猾萨曼莎：\n我从那家伙那里偷不到任何东西！\n他对我来说太男人了~,,,,,,
"NETMESSAGE:Sneaky Samantha:\nWell, I couldn't get much,\nbut here you go.",狡猾萨曼莎：\n好吧，我没拿到多少，\n但给你。,,,,,,
NETMESSAGE:Sneaky Samantha:\nDon't spend these all in one place!,狡猾萨曼莎：\n别一次全花在一个地方！,,,,,,
NETMESSAGE:Sneaky Samantha:\nLike taking candy from a baby.,狡猾萨曼莎：\n就像从婴儿手里拿糖一样。,,,,,,
NETMESSAGE:Sneaky Samantha:\nNow go buy some drugs or whatever\nit is you kids do these days.,狡猾萨曼莎：\n现在去买点毒品或随便什么\n你们这些孩子现在干的事情。,,,,,,
NETMESSAGE:Sneaky Samantha:\nThe guy just stood there and\nwatched me take his points.,狡猾萨曼莎：\n那家伙就站在那儿\n看着我拿走他的点数。,,,,,,
NETMESSAGE:Sneaky Samantha:\nThis guy has deep pockets.\nYou're gonna be RICH!,狡猾萨曼莎：\n这家伙很有钱。\n你要发财了！,,,,,,
NETMESSAGE:Sneaky Samantha:\n,狡猾萨曼莎：\n,,,,,,
NETMESSAGE:Sneaky Samantha:\nSo you're lookin' to steal some points?\nYou came to the right person.,狡猾萨曼莎：\n所以你想偷点点数？\n你找对人了。,,,,,,
NETMESSAGE:Depression Danny and Tropical Trevor\nhave switched places!,抑郁丹尼和热带特雷弗\n交换了位置！,,,,,,
NETMESSAGE:auto-advancing players,自动前进玩家,,,,,,
NETMESSAGE:Silly Steve:\nWelcome to chance time!\nLet's meet our participants.,傻气史蒂夫：\n欢迎来到机会时刻！\n让我们见见参与者。,,,,,,
NETMESSAGE:Silly Steve:\nWelcome to chance time!\nLet's meet our participants...,傻气史蒂夫：\n欢迎来到机会时刻！\n让我们见见参与者...,,,,,,
NETMESSAGE:Silly Steve:\nHere are the results!,傻气史蒂夫：\n结果来了！,,,,,,
NETMESSAGE:Silly Steve:\nSee you next time!,傻气史蒂夫：\n下次见！,,,,,,
NETMESSAGE:turns left,回合剩余,,,,,,
NETMESSAGE:auto-advance failed after 12 iterations,自动前进在12次迭代后失败,,,,,,
NETMESSAGE:10 seconds left,剩余10秒,,,,,,
NETMESSAGE:30 seconds left,剩余30秒,,,,,,
