Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:A purple crystal has been found!,发现了一颗紫色水晶！,,,,,,
NETMESSAGE:A purple crystal has been found!,发现了一颗紫色水晶！,,,,,,
NETMESSAGE:A purple crystal has been found!,发现了一颗紫色水晶！,,,,,,
NETMESSAGE:All crystals have been collected! Let's go back to Black Mesa.,所有水晶都已收集完毕！我们回黑山基地去吧。,,,,,,
NETMESSAGE:New checkpoint found,发现新检查点,,,,,,
NETMESSAGE:Kill about 80% of aliens in the labyrinth to progress,击杀迷宫中约80%的外星人以继续前进,,,,,,
"NETMESSAGE:Most of aliens have been killed in the labyrinth and the door is open now, move out!",迷宫中的大部分外星人已被击杀，门已打开，快出去！,,,,,,
NETMESSAGE:Scientist: Greetings squad! Did you come to stop the Gman?,科学家：队员们好！你们是来阻止G-man的吗？,,,,,,
NETMESSAGE:I need three purple crystals for my experiments in a small area of Xen.,我需要三颗紫色水晶用于我在Xen小区域的实验。,,,,,,
"NETMESSAGE:If you bring me the crystals, I will give you access to the Gman final room, good luck!",如果你把水晶带来，我就给你进入G-man最终房间的权限，祝你好运！,,,,,,
"NETMESSAGE:Scientist: Great! I can continue with my experiments now, be careful stopping the plans of the Gman!",科学家：太好了！我现在可以继续我的实验了，小心阻止G-man的计划！,,,,,,
