Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Captain Jean-Luc Picard: \nVery well, keep the coins, I will let you go, just because you did save me before. \nBut this planet is still a menace to the universe. We will be back soon to finish the job. \nI hope you are not around when we do.",让-吕克·皮卡德船长：\n好吧，硬币你留着，我放你走，只因为你之前救过我。\n但这颗星球仍然是宇宙的威胁。我们很快就会回来完成任务。\n我希望到时候你不在场。,,,,,,
NETMESSAGE:You have acquired a chunk of Gordon Freeman's brain! \nOne step closer to POWERUP FREEMAN!,你获得了一块戈登·弗里曼的大脑！\n离‘强化弗里曼’更近了一步！,,,,,,
NETMESSAGE:New spawn point available.,新的重生点可用。,,,,,,
"NETMESSAGE:Mmm, this looks suspicious...",嗯，这看起来可疑...,,,,,,
NETMESSAGE:You have acquired another chunk of Gordon Freeman's Brain... \nEmergency! User death imminence!,你获得了另一块戈登·弗里曼的大脑……\n紧急情况！用户即将死亡！,,,,,,
NETMESSAGE:You have acquired the first chunk of Gordon Freeman's Brain... \nERROR! Screen malfunction. Brain progression will not be able to display here anymore.,你获得了第一块戈登·弗里曼的大脑……\n错误！屏幕故障。大脑进度将无法再在此处显示。,,,,,,
NETMESSAGE:You have drained the ancient city. \nGood job!,你排干了古城。\n干得好！,,,,,,
"NETMESSAGE:CryoKeen (radio): \nOne of the buttons is missing on that door... \nNothing that some good shooting can't handle, bois...",CryoKeen（无线电）：\n那扇门上少了一个按钮……\n不过，几发精准射击就能搞定，伙计们……,,,,,,
NETMESSAGE:GMan (telepathy): \nI could warn you that you should not be looking for ...'Freeman's'... brain. \nBut it will not change his inevitable outcome either way...,GMan（心灵感应）：\n我可以警告你，你不该去寻找……‘弗里曼’的……大脑。\n但无论如何，这都不会改变他注定的结局……,,,,,,
NETMESSAGE:You collected all 18 Picard coins! Congrats!,你收集了全部18枚皮卡德硬币！恭喜！,,,,,,
NETMESSAGE:Congrats! You have captured the portal for the Sven Co-op team!,恭喜！你为Sven Co-op团队夺取了传送门！,,,,,,
"NETMESSAGE:CryoKeen (radio): \nGood, you have acquired all pieces of Gordon Freeman's brain. \nMeet me at the church of betrayal and we will stop Neek!",CryoKeen（无线电）：\n很好，你已经获得了所有戈登·弗里曼的大脑碎片。\n在背叛教堂与我会合，我们将阻止尼克！,,,,,,
"NETMESSAGE:CryoKeen: \nHA HA HA! Idiots, there was never a 'Neek'. I AM Neek! I AM Keen! \nThanks for resurrecting my evil Freeman clone from Sector E! \n...Uhh ah... from Red Shift!",CryoKeen：\n哈哈哈！蠢货们，根本就没有什么‘尼克’。我就是尼克！我就是Keen！\n感谢你们从E区复活了我的邪恶弗里曼克隆体！\n……呃啊……是从《红色转移》！,,,,,,
"NETMESSAGE:CryoKeen: Aha! Not so fast! This is not over yet! \n...You will never get off this planet... Never! \n...now... BEGONE, CO-OP!",CryoKeen：啊哈！别急！还没完呢！\n……你们永远别想离开这个星球……永远！\n……现在……消失吧，CO-OP！,,,,,,
NETMESSAGE:Radical: NO! MY COINS! REEEEEEEEEEEEEE!!,Radical：不！我的硬币！REEEEEEEEEEEEEE！！,,,,,,
"NETMESSAGE:Captain Jean-Luc Picard: This is Captain Jean-Luc Picard of the federation starship, Enterprise. \nThose coins are federation property. And this planet is classified for termination. \nGive them up!",让-吕克·皮卡德船长：这里是联邦星舰‘企业号’的让-吕克·皮卡德船长。\n那些硬币是联邦财产。这颗星球已被列为清除目标。\n把它们交出来！,,,,,,
NETMESSAGE:Keycard acquired.,已获得钥匙卡。,,,,,,
NETMESSAGE:w00tgh0st123: \nNo! You will NOT take my func_vehicles!,w00tgh0st123：\n不！你们别想拿走我的func_vehicles！,,,,,,
NETMESSAGE:Hunt down the RED SHIRTS!,追捕红衣兵！,,,,,,
NETMESSAGE:Nih: Fools! Did you honestly think I was alive all along? \nI was resurrected to serve the masters long ago. \nNow I will make coins out of your blood!,Nih：蠢货！你们真以为我一直活着吗？\n我早就被复活来为主人效劳了。\n现在我要用你们的血来铸造硬币！,,,,,,
NETMESSAGE:CryoKeen (radio): \nPlayers! I'm up here on the rooftop! \nYou can climb up here if you can use the barnacle on me!,CryoKeen（无线电）：\n玩家们！我在屋顶上！\n如果你们能对我使用藤壶，就能爬上来！,,,,,,
NETMESSAGE:Collect all the Picard coins to open the tunnel door.,收集所有皮卡德硬币以打开隧道门。,,,,,,
NETMESSAGE:Tunnel door opened.,隧道门已打开。,,,,,,
"NETMESSAGE:CryoKeen: \nI was saving this for later, but you asked for it!  \n...MY ULTIMATE ABILITY!!",CryoKeen：\n我本来想留着这一招，但你们自找的！\n……我的终极能力！！,,,,,,
NETMESSAGE:Nih's uber laz0r is available at spawn!,Nih的超级激光炮可在重生点使用！,,,,,,
NETMESSAGE:CryoKeen: NOOOOOOO!!,CryoKeen：不！！！！！,,,,,,
NETMESSAGE:CryoKeen has been freed from his evil half. \nNeek has been defeated!,CryoKeen已从他的邪恶一半中解放出来。\nNeek已被击败！,,,,,,
