Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Secret Found,发现秘密,,,,,,
"NETMESSAGE:You've taken the Crossbow, it only has 5 arrows",你拿起了弩，它只有5支箭,,,,,,
"NETMESSAGE:A pack with C4, better don't waste it..",一包C4炸药，最好别浪费..,,,,,,
"NETMESSAGE:You've taken a Medkit, use it wisely",你拿了一个医疗包，明智地使用它,,,,,,
NETMESSAGE:Door jammed,门卡住了,,,,,,
NETMESSAGE:Mr. Cricket has been murdered! :(,克里克特先生被谋杀了！:(,,,,,,
NETMESSAGE:A Gate is opening..,一扇门正在打开..,,,,,,
NETMESSAGE:Longjump is now available,长跳现在可用,,,,,,
NETMESSAGE:You've taken the Shotgun,你拿起了霰弹枪,,,,,,
NETMESSAGE:You've taken the Security Vest,你拿起了防弹背心,,,,,,
NETMESSAGE:It's sealed firmly,它被牢牢密封了,,,,,,
NETMESSAGE:It's locked from inside,它从里面锁住了,,,,,,
NETMESSAGE:You unlocked it,你解锁了它,,,,,,
NETMESSAGE:You've taken the MP5,你拿起了MP5,,,,,,
"NETMESSAGE:It's locked, a special kind of key is required",它锁着，需要一种特殊的钥匙,,,,,,
NETMESSAGE:Map by Butcher. Contact flying.argentinean@gmail.com,地图由Butcher制作。联系flying.argentinean@gmail.com,,,,,,
NETMESSAGE:You have used the Small Key,你使用了小钥匙,,,,,,
NETMESSAGE:Small Key found,找到小钥匙,,,,,,
NETMESSAGE:You've taken the Sniper Rifle,你拿起了狙击步枪,,,,,,
NETMESSAGE:I can't go trought. Something is blocking the way,我过不去。有什么东西挡住了路,,,,,,
NETMESSAGE:Pushing this shit out of the way..,把这个破东西推开..,,,,,,
NETMESSAGE:It looks like a sticky web..,看起来像粘网..,,,,,,
"NETMESSAGE:It's locked, a heart is etched under the key hole",它锁着，钥匙孔下刻着一颗心,,,,,,
NETMESSAGE:You have used the Heart Key,你使用了心形钥匙,,,,,,
NETMESSAGE:You've taken the RPG,你拿起了火箭筒,,,,,,
NETMESSAGE:You've taken a Special Op Vest,你拿起了特种作战背心,,,,,,
NETMESSAGE:Heart Key found,找到心形钥匙,,,,,,
"NETMESSAGE:Careful with this, not a toy",小心这个，不是玩具,,,,,,
NETMESSAGE:A Gate is opening...,一扇门正在打开...,,,,,,
NETMESSAGE:The panel appears to be broken. I can't get the door open,面板似乎坏了。我打不开门,,,,,,
NETMESSAGE:It's electronically locked. There's a card reader on the right.,它是电子锁。右边有个读卡器。,,,,,,
NETMESSAGE:You have used the Keycard,你使用了钥匙卡,,,,,,
NETMESSAGE:Crowbar is now available,撬棍现在可用,,,,,,
NETMESSAGE:It's tightly locked. I might be able to open it with the right tool...,它锁得很紧。也许用合适的工具能打开...,,,,,,
NETMESSAGE:It's tightly locked. I might be able to open it with the right tool...,它锁得很紧。也许用合适的工具能打开...,,,,,,
NETMESSAGE:Optional Quest: help Dr. Kleiner to get out,可选任务：帮助克莱纳博士出去,,,,,,
NETMESSAGE:Dr. Kleiner has been rescued,克莱纳博士已被救出,,,,,,
NETMESSAGE:Medkit is now available,医疗包现在可用,,,,,,
NETMESSAGE:Crowbar found,找到撬棍,,,,,,
NETMESSAGE:You've taken the Sniper Bullets,你拿起了狙击子弹,,,,,,
NETMESSAGE:Keycard found,找到钥匙卡,,,,,,
NETMESSAGE:You've taken the Displacer,你拿起了位移器,,,,,,
NETMESSAGE:Longjump Usage: While moving forward press Ctrl+Space,长跳使用：向前移动时按Ctrl+空格,,,,,,
NETMESSAGE:An old fountain. Something is written here. 'Only when the three petrified are defeated. You will be allowed in Valhalla.',一个古老的喷泉。这里写着一些字：'Only when the three petrified are defeated. You will be allowed in Valhalla.',,,,,,
NETMESSAGE:Something is happening..,发生了什么事..,,,,,,
NETMESSAGE:An old fountain. Something is written here:,一个古老的喷泉。这里写着一些字：,,,,,,
NETMESSAGE:Now we have access to the Armory... time to finish with those creatures,现在我们能进入军械库了...是时候解决那些生物了,,,,,,
NETMESSAGE:It's sealed firmly,它被牢牢密封了,,,,,,
NETMESSAGE:Nothing over here.. better get back to light,这里什么都没有..最好回到光亮处,,,,,,
NETMESSAGE:This door won't open,这扇门打不开,,,,,,
NETMESSAGE:Maze idea from The Shining (1980),迷宫灵感来自《闪灵》(1980),,,,,,
"NETMESSAGE:Beta testers: bonsaiote, desertwolf, MeSiaS, Noit, Puppetmaster","测试人员：bonsaiote, desertwolf, MeSiaS, Noit, Puppetmaster",,,,,,
NETMESSAGE:Models: gamer-lab.com,模型：gamer-lab.com,,,,,,
"NETMESSAGE:Music: Half-Life 2, IWKTK 2, Resident Evil 2","音乐：半衰期2, IWKTK 2, 生化危机2",,,,,,
"NETMESSAGE:Sounds: Half-life 2, Resident Evil 2","音效：半衰期2, 生化危机2",,,,,,
"NETMESSAGE:Speeches: The Matrix, Half-Life 2","语音：黑客帝国, 半衰期2",,,,,,
NETMESSAGE:Zombies Speedhacks :) by butcher,僵尸加速作弊 :) 由butcher制作,,,,,,
NETMESSAGE:Mapping time: 1 Year,地图制作时间：1年,,,,,,
NETMESSAGE:Special thanks to Hezus & all guys from the forum who helped me a lot,特别感谢Hezus以及论坛上所有帮助过我的人,,,,,,
NETMESSAGE:Dedicated to all SC Players hope you enjoyed it :),献给所有SC玩家，希望你们喜欢:),,,,,,
NETMESSAGE:Feedback: flying.argentinean@gmail.com,反馈：flying.argentinean@gmail.com,,,,,,
NETMESSAGE:Only when the three petrified are defeated. You will be allowed in Valhalla.,只有当三个石化者被击败后，你才能进入瓦尔哈拉。,,,,,,
NETMESSAGE:Find them and Destroy them,找到它们并摧毁它们,,,,,,
NETMESSAGE:Blue Book found,找到蓝书,,,,,,
NETMESSAGE:Red Book found,找到红书,,,,,,
NETMESSAGE:Two books on this shelf are missing,这个书架上少了两本书,,,,,,
NETMESSAGE:You have placed the Red Book,你放置了红书,,,,,,
NETMESSAGE:You have placed the Blue Book,你放置了蓝书,,,,,,
