Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Houndeye Bonus has been activated!,猎犬之眼加成已激活！,,,,,,
NETMESSAGE:WARNING: THE POINT MAN IS NOT ALLOWED IN THE SPAWN ROOM,警告：突击手不允许进入出生房间,,,,,,
NETMESSAGE:The Point Man has been chosen! Game starts in 15 seconds.,突击手已选定！游戏将在15秒后开始。,,,,,,
NETMESSAGE:Find and eat the Chumtoad to become the Point Man.\nThe game will begin afterwards.,找到并吃掉蟾蜍鱼成为突击手。\n之后游戏将开始。,,,,,,
NETMESSAGE:The game has begun!,游戏已开始！,,,,,,
NETMESSAGE:Point awarded!,得分！,,,,,,
NETMESSAGE:The Point Man has died. You have 15 seconds to revive him.,突击手已死亡。你有15秒时间复活他。,,,,,,
NETMESSAGE:The Point Man died and you failed to revive him. Game over.,突击手死亡且未能复活。游戏结束。,,,,,,
NETMESSAGE:Your Score:,你的分数：,,,,,,
NETMESSAGE:Jumpers: Protect the Point Man. He is signified by a purple glow.,跳跃者：保护突击手。他由紫色光环标识。,,,,,,
NETMESSAGE:Point Man: Land on the pads with purple arrows to score points. Stay alive.,突击手：落在带有紫色箭头的平台上得分。保持存活。,,,,,,
NETMESSAGE:You have reached Rank 1:,你已达到等级1：,,,,,,
NETMESSAGE:No-Lifer.,无生活者。,,,,,,
NETMESSAGE:You have reached Rank 2:,你已达到等级2：,,,,,,
NETMESSAGE:Supreme Jumper of Epic Proportions.,史诗级的至尊跳跃者。,,,,,,
NETMESSAGE:You have reached Rank 3:,你已达到等级3：,,,,,,
NETMESSAGE:Truly Fabulous Jumper.,真正惊人的跳跃者。,,,,,,
NETMESSAGE:Serious Jumper.,认真跳跃者。,,,,,,
NETMESSAGE:You have reached Rank 4:,你已达到等级4：,,,,,,
NETMESSAGE:You have reached Rank 5:,你已达到等级5：,,,,,,
NETMESSAGE:Half-Decent Jumper.,半合格的跳跃者。,,,,,,
NETMESSAGE:Amateur Jumper.,业余跳跃者。,,,,,,
NETMESSAGE:You have reached Rank 6:,你已达到等级6：,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Point Man max health decreased!,突击手最大生命值减少！,,,,,,
NETMESSAGE:Protect the Point Man!,保护突击手！,,,,,,
NETMESSAGE:Cheats or balance-changing server mod detected. Difficulty adjusted.,检测到作弊或改变平衡的服务器模组。难度已调整。,,,,,,
NETMESSAGE:Server High Score:,服务器最高分：,,,,,,
NETMESSAGE:Congratulations! You have beaten the server high score!,恭喜！你打破了服务器最高分！,,,,,,
NETMESSAGE:Sorry! You failed to beat the server high score.,抱歉！你未能打破服务器最高分。,,,,,,
NETMESSAGE:Server High Score:,服务器最高分：,,,,,,
NETMESSAGE:Your Score:,你的分数：,,,,,,
"NETMESSAGE:I have been stuck in this bizarre arena for decades now. Every time I die, i simply reawaken the next day.",我已经被困在这个奇异的竞技场几十年了。每次我死了，第二天就会重新醒来。,,,,,,
NETMESSAGE:But enough is enough. The suffering is over.,但够了就是够了。痛苦结束了。,,,,,,
"NETMESSAGE:I have constructed an army of giant mutant cockroaches, and I intend to have sex with them for the rest of eternity.",我建造了一支巨型变异蟑螂大军，并打算与它们交配直至永恒。,,,,,,
