Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Hey there,glad to see you.",嘿，很高兴见到你。,,,,,,
NETMESSAGE:Your team need clear enemy force in this area.,你的队伍需要清除这个区域的敌军。,,,,,,
"NETMESSAGE:Watch out,enemy force detected.",小心，检测到敌军。,,,,,,
"NETMESSAGE:Be careful,more enemy force coming.They wanna stop us.",小心，更多的敌军正在接近。他们想阻止我们。,,,,,,
"NETMESSAGE:OK.Squad you find them ,take the SpyDrone.",好的。小队，你们找到他们，拿走间谍无人机。,,,,,,
NETMESSAGE:Let's get out of there.Fall back to landing area.,我们离开那里。撤退到着陆区。,,,,,,
NETMESSAGE:Good Job team!,干得好，小队！,,,,,,
"NETMESSAGE:Now,Let'return to base.",现在，返回基地。,,,,,,
NETMESSAGE:Map made by GreenTea (-V-),地图由GreenTea制作 (-V-),,,,,,
NETMESSAGE:This is the beginning of the story.,这是故事的开始。,,,,,,
NETMESSAGE:You looking for the SpyDrone? It's in there.,你在找间谍无人机？它就在那里。,,,,,,
NETMESSAGE:Here is the mission.,这是任务。,,,,,,
NETMESSAGE:Our advance team recovered an enemy SpyDrone.,我们的先遣队找回了一架敌方间谍无人机。,,,,,,
NETMESSAGE:But they were trapped by enemy force.,但他们被敌军困住了。,,,,,,
NETMESSAGE:Your team need to going totake the SpyDrone back.,你的队伍需要去把间谍无人机拿回来。,,,,,,
NETMESSAGE:Good luck!,祝你好运！,,,,,,
NETMESSAGE:Thx for playing! >w<,感谢游玩！>w<,,,,,,
"NETMESSAGE:Sorry Squad,We can't landing to your area rightnow.",抱歉小队，我们现在无法降落到你们的区域。,,,,,,
"NETMESSAGE:All right.Area clear,Our osprey is coming.",好的。区域已清除，我们的鱼鹰机正在到来。,,,,,,
NETMESSAGE:Find cover! Take them down.,找掩护！干掉他们。,,,,,,
NETMESSAGE:There're too many Enemy Force moving to your area.,有太多敌军正在向你们的区域移动。,,,,,,
