Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Nih (pager): \nYou may not leave the area until you rescue at least 3 scientists.,Nih (传呼机): \n在解救至少3名科学家之前，你不能离开该区域。,,,,,,
NETMESSAGE:Nih (pager): \nYou may not leave the area until you rescue at least 3 scientists.,Nih (传呼机): \n在解救至少3名科学家之前，你不能离开该区域。,,,,,,
NETMESSAGE:Nih (radio): \nCongratulations! You have rescued a scientist!,Nih (电台): \n恭喜！你已解救了一名科学家！,,,,,,
NETMESSAGE:Secret crystal acquired.,秘密水晶已获得。,,,,,,
NETMESSAGE:Secret crystal acquired.,秘密水晶已获得。,,,,,,
NETMESSAGE:Nih (radio): \nA UFO has abducted a scientist and opened an interdimensional portal! \nCollect energy canistered to close the portal!,Nih (电台): \n一架UFO绑架了一名科学家并打开了跨维度传送门！\n收集能量罐以关闭传送门！,,,,,,
NETMESSAGE:Nih (radio): \nYou've collected all the canisters! Awesome!,Nih (电台): \n你已收集了所有能量罐！太棒了！,,,,,,
NETMESSAGE:Nih (radio): \nUh oh... It looks like the aliens are sending another monster before the portal closes! \nTake cover!,Nih (电台): \n哦哦……看起来在传送门关闭之前，外星人正在派遣另一只怪物！\n掩护！,,,,,,
NETMESSAGE:Nih (pager): \nYou may not leave the area until all of the containers have been collected \nand all of the monsters have been defeated.,Nih (传呼机): \n在收集完所有容器并击败所有怪物之前，你不能离开该区域。,,,,,,
NETMESSAGE:Nih (radio): \nAnother wave of aliens is approaching! Prepare for battle!,Nih (电台): \n又一波外星人正在接近！准备战斗！,,,,,,
NETMESSAGE:Nih (radio): \nYou were successful at repelling the 2nd wave! Great job! \nNow bring CryoKeen to the main spawn point.,Nih (电台): \n你成功击退了第二波！干得好！\n现在将CryoKeen带到主要出生点。,,,,,,
NETMESSAGE:Nih (radio): \nCongratulations! You have rescued a scientist!,Nih (电台): \n恭喜！你已解救了一名科学家！,,,,,,
NETMESSAGE:Secret crystal acquired.,秘密水晶已获得。,,,,,,
NETMESSAGE:Nih (radio): \nGood work! You have rescued a scientist \nand he has unlocked the underground passage for you!,Nih (电台): \n干得好！你已解救了一名科学家，\n他为你打开了地下通道！,,,,,,
NETMESSAGE:Nih (radio): \nYou rescued a secret scientist!,Nih (电台): \n你解救了一名秘密科学家！,,,,,,
NETMESSAGE:You found an inert green cube! \nSo useful...,你找到了一个惰性绿色立方体！\n真有用……,,,,,,
NETMESSAGE:You found an inert green cube! \nIt does nothing!,你找到了一个惰性绿色立方体！\n它什么也不做！,,,,,,
NETMESSAGE:You found a total of 9 Picard coins! \nThe captain has an eye on you!,你总共找到了9枚皮卡德币！\n船长在看着你！,,,,,,
NETMESSAGE:You found a total of 6 Picard coins! You hoarder!,你总共找到了6枚皮卡德币！你这囤积癖！,,,,,,
NETMESSAGE:You found a total of 3 Picard coins!,你总共找到了3枚皮卡德币！,,,,,,
NETMESSAGE:You found a hidden Picard coin!,你找到了一个隐藏的皮卡德币！,,,,,,
NETMESSAGE:All secret crystals found! \nA Secret Crystal Super Secret Robot has been rebuilt at spawn!,所有秘密水晶已找到！\n一个秘密水晶超级秘密机器人已在出生点重建！,,,,,,
NETMESSAGE:CryoKeen (radio): \nGo forth my meme cyborgs! Go and help the players!,CryoKeen (电台): \n前进吧我的模因半机械人！去帮助玩家们！,,,,,,
"NETMESSAGE:CryoKeen: \nI think you will need some of my expertise. \nAnd don't worry, I won't steal your kills. \nI will only use 1% of my power. Now take me to the bomb.",CryoKeen: \n我想你会需要我的一些专长。\n别担心，我不会抢你的人头。\n我只会使用我1%的力量。现在带我去炸弹那里。,,,,,,
NETMESSAGE:CryoKeen: \nLooks like I have to teach you how to open a door.,CryoKeen: \n看来我得教你如何开门了。,,,,,,
