Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Sentry System Done,哨戒系统完成,,,,,,
NETMESSAGE:Constructing Sentry System,正在建造哨戒系统,,,,,,
NETMESSAGE:Constructing Barracks,正在建造兵营,,,,,,
NETMESSAGE:RoboGrunt Done,RoboGrunt 完成,,,,,,
NETMESSAGE:Constructing Sentry System,正在建造哨戒系统,,,,,,
NETMESSAGE:Sentry System Done,哨戒系统完成,,,,,,
NETMESSAGE:Constructing Power Generator,正在建造发电机,,,,,,
NETMESSAGE:Backup Power Generator Done,备用发电机完成,,,,,,
NETMESSAGE:Ion Cannon Room open,离子炮室已开启,,,,,,
NETMESSAGE:All personnel must evacuate to the bunker !,所有人员必须撤离到掩体！,,,,,,
NETMESSAGE:WARNING : Linking up ION Cannon !,警告：正在连接离子炮！,,,,,,
NETMESSAGE:The Aliens will teleport their Master to finish us off. Destroy it at all costs !,外星人将传送他们的主宰来消灭我们。不惜一切代价摧毁它！,,,,,,
NETMESSAGE:The Portal is weakening. Put a C4 charge on it now !,传送门正在减弱。立刻安放C4炸药！,,,,,,
NETMESSAGE:The C4 has been planted. Clear the area !,C4已安置。清理该区域！,,,,,,
NETMESSAGE:Map by Hezus,地图作者：Hezus,,,,,,
NETMESSAGE:For now...,暂时...,,,,,,
NETMESSAGE:Good job..you have held off the attack !,干得好..你抵挡住了攻击！,,,,,,
