Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:imakara oyoso 1nen mae...,从现在起大约1年前...,,,,,,
NETMESSAGE:katsute black school datta kono basyo ha\n\nsvecer tachi ni yotte heikou sareta,曾经是黑学校的这个地方\n\n被斯维切尔们封锁了,,,,,,
NETMESSAGE:soshite kono basyo ha machi no\n\nkoumin kan heto umare kawatta node atta,然后这个地方\n\n变成了公民馆,,,,,,
NETMESSAGE:tokoro ga yoru ni naruto ghost ni osowareru\n\nto iu uwasa ga ato wo tatana katta,但是到了晚上会被鬼袭击\n\n这样的传闻从未断绝,,,,,,
NETMESSAGE:nanika ni sasowareru youni syuuketsu shita\n\nsvecer tachi ha naibu tansaku wo suru kototo natta...,像是被什么吸引而聚集的\n\n斯维切尔们决定进行内部探索...,,,,,,
NETMESSAGE:soredeha ittemiyou!!,那么，走吧!!,,,,,,
NETMESSAGE:nintai nintai\n\n ato 1pun nintai,忍耐忍耐\n\n再忍耐1分钟,,,,,,
NETMESSAGE:okujyou no door ga hiraita!!,屋顶的门打开了!!,,,,,,
NETMESSAGE:kita kousya no door ga hiraita!!,北校舍的门打开了!!,,,,,,
NETMESSAGE:okujyou no saku ga kowareta!!,屋顶的栅栏坏了!!,,,,,,
NETMESSAGE:minami kousya no door ga hiraita!!,南校舍的门打开了!!,,,,,,
NETMESSAGE:okujyou no hashigo ga noboreru youni natta!!,屋顶的梯子可以爬了!!,,,,,,
NETMESSAGE:jissyuu shitsu no door ga hiraita!!,实习室的门打开了!!,,,,,,
NETMESSAGE:aki kyoushitsu no door ga hiraita!!,空教室的门打开了!!,,,,,,
NETMESSAGE:mon ga akanai!?,门打不开!?,,,,,,
NETMESSAGE:?! dokoka ni jyaaku na kehai ga!?,?! 某处有邪恶的气息!?,,,,,,
NETMESSAGE:houji sensei!? 1nen mae no\n\nare de shinde shimatta noka...,法寺老师!? 一年前的\n\n那个事件去世了吗...,,,,,,
NETMESSAGE:nanika tegotae ga usui...\n\ndokoka ni hontai ga irunodeha?!,手感很轻...\n\n本体难道在别处吗!?,,,,,,
NETMESSAGE:tegotae ga nai...\n\nkore mo nisemono datta...,没有手感...\n\n这个也是假的...,,,,,,
NETMESSAGE:omoitsuku basyo to shitara...\n\nsensei ga shinda ano basyo shika nai!!,想到的地方的话...\n\n只有老师死去的那里!!,,,,,,
NETMESSAGE:mon ga hiraita!!,门打开了!!,,,,,,
NETMESSAGE:ghost ha subete jyouka sareta!!\n\nOK boujyou!!,鬼魂全部被净化了!!\n\nOK 暴走!!,,,,,,
NETMESSAGE:AC\n\nkoukyou koukoku kikou desu,AC\n\n公共广告机构,,,,,,
