Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You found 3 portions of food.,你找到了3份食物。,,,,,,
NETMESSAGE:You found 1 bottle of water.,你找到了1瓶水。,,,,,,
NETMESSAGE:You refilled your watersupplies.,你补充了你的水供应。,,,,,,
NETMESSAGE:You found 1 package of antibiotics.,你找到了1包抗生素。,,,,,,
NETMESSAGE:Debug: You got sick because you jumped into the water,调试：你因为跳进水里而生病了。,,,,,,
NETMESSAGE:You have enough to drugs but this is bugged!,你有足够的药物，但这是个bug！,,,,,,
NETMESSAGE:You have enough to drink but this is bugged!,你有足够的水，但这是个bug！,,,,,,
NETMESSAGE:You loose health because you dont have\nenough to drink.,你失去生命值，因为你没有\n足够的水。,,,,,,
NETMESSAGE:You have enough to eat but this is bugged!,你有足够的食物，但这是个bug！,,,,,,
NETMESSAGE:You loose health because you dont have\nenough to eat.,你失去生命值，因为你没有\n足够的食物。,,,,,,
NETMESSAGE:You loose health because you have some\nkind of infection.,你失去生命值，因为你患有某种\n感染。,,,,,,
NETMESSAGE:Debug: You got sick by chance.,调试：你随机生病了。,,,,,,
NETMESSAGE:You found 1 portion of food.,你找到了1份食物。,,,,,,
NETMESSAGE:Three nights have been survived.\nThe winners are:,已经存活了三夜。\n获胜者是：,,,,,,
NETMESSAGE:If you read this then this is bugged,如果你看到这个消息，那么这是个bug,,,,,,
NETMESSAGE:You found a box of matches.,你找到了一盒火柴。,,,,,,
NETMESSAGE:You found some wood.,你找到了一些木头。,,,,,,
NETMESSAGE:Night has passed. The names of the\nplayers and the number of nights\nsurvived will now be announced.,夜晚已过。玩家的名字和\n存活的天数\n现在将被宣布。,,,,,,
NETMESSAGE:Sorry! The inventory is not available at the moment. Try again later!,对不起！库存目前不可用。请稍后再试！,,,,,,
NETMESSAGE:You found some mechanical tools.,你找到了一些机械工具。,,,,,,
NETMESSAGE:This generator is broken. You need mechanical tools to repair it.,这个发电机坏了。你需要机械工具来修理它。,,,,,,
NETMESSAGE:You repaired this generator with your mechanical tools.,你用你的机械工具修好了这个发电机。,,,,,,
NETMESSAGE:This keypad has no power. Activate the generator!,这个键盘没有电。启动发电机！,,,,,,
NETMESSAGE:You found some electronical tools.,你找到了一些电子工具。,,,,,,
NETMESSAGE:This keypad is broken. You need electronical tools to repair it.,这个键盘坏了。你需要电子工具来修理它。,,,,,,
NETMESSAGE:You repaired the keypad using your electronical tools.,你用你的电子工具修好了键盘。,,,,,,
NETMESSAGE:This radio is broken. You need electronical tools to repair it.,这个收音机坏了。你需要电子工具来修理它。,,,,,,
NETMESSAGE:You repaired this radio using your mechanical tools.,你用你的机械工具修好了这个收音机。,,,,,,
NETMESSAGE:Respawning inactive item.,重新生成未激活的物品。,,,,,,
NETMESSAGE:Inventory is bugged! Leftclick once!,库存出错了！左键点击一次！,,,,,,
