Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Red keycard has been found,已找到红色钥匙卡,,,,,,
NETMESSAGE:Green keycard has been found,已找到绿色钥匙卡,,,,,,
NETMESSAGE:Blue keycard has been found,已找到蓝色钥匙卡,,,,,,
"NETMESSAGE:You found a Secret, i guess",你找到了一个秘密，我猜,,,,,,
NETMESSAGE:You found the weapon which they keep calling The Pressure Cooker,你找到了他们一直称之为‘压力锅’的武器,,,,,,
NETMESSAGE:Easy mode selected,已选择简单模式,,,,,,
NETMESSAGE:Hard mode selected,已选择困难模式,,,,,,
NETMESSAGE:Voting failed,投票失败,,,,,,
"NETMESSAGE:No one voted, what a bunch of dummies",没人投票，真是一群傻瓜,,,,,,
NETMESSAGE:Closed due to lack of engine parts and buffer memory in brain,由于缺少引擎部件和大脑缓冲内存而关闭,,,,,,
NETMESSAGE:The unbalanced stash of ammo has been opened,不平衡的弹药藏匿处已被打开,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:You found the goddamn Machinegun.\n No longer swamped with this fucking thing,你找到了该死的机枪。\n 不再被这鬼东西淹没了,,,,,,
NETMESSAGE:You found a Secret area,你发现了一个秘密区域,,,,,,
NETMESSAGE:Some form of secret seems to be unlocked,某种形式的秘密似乎已解锁,,,,,,
NETMESSAGE:What the hell is this key?,这到底是什么钥匙？,,,,,,
NETMESSAGE:Swamped Concrete Playground,淹没的混凝土游乐场,,,,,,
NETMESSAGE:Complex of Purposeful Disorder,有意无序综合区,,,,,,
NETMESSAGE:Halls of Infinite Rebooting,无限重启大厅,,,,,,
NETMESSAGE:Incongruously Safe Generator Room,不协调的安全发电机房,,,,,,
NETMESSAGE:Halfway Swampy Technological Wilderness,半沼泽科技荒野,,,,,,
NETMESSAGE:Flammably Careless Storage Unit,易燃粗心存储单元,,,,,,
NETMESSAGE:A Blank Key has been found,已找到一把空白钥匙,,,,,,
NETMESSAGE:I think i just stole some thing's eggs.\n Gotta stop picking up everything,我想我刚刚偷了什么东西的蛋。\n 得停止捡起所有东西了,,,,,,
"NETMESSAGE:Oh boy, now lets put this motherfucker into good use.\n Remember all those places that were out of reach?",哦好家伙，现在让我们把这该死的东西好好利用起来。\n 还记得所有那些够不着的地方吗？,,,,,,
NETMESSAGE:Normal mode selected,已选择普通模式,,,,,,
NETMESSAGE:Brutal Deluge,残酷洪水,,,,,,
