Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:ALL THE AUTOMATIC TURRETS ARE NOW YOUR ALLIES.\nLASERS NOW DETECT ENNEMIES!,所有自动炮塔现在都是你的盟友。\n激光现在检测敌人！,,,,,,
NETMESSAGE:ALL THE AUTOMATIC TURRETS ARE NOW YOUR ENNEMIES.,所有自动炮塔现在都是你的敌人。,,,,,,
NETMESSAGE:SOLDIERS ARE ON THEIR WAY TO ASSIST YOU.,士兵正在前来协助你。,,,,,,
NETMESSAGE:TRAIN TRACK POWERED ON.,铁轨已通电。,,,,,,
NETMESSAGE:PIPE WRENCH WILL NOW BE GIVEN AT SPAWN!\nUSE IT TO REPAIR ALLY TURRETS!,扳手现在会在出生点给予！\n用它来修复盟友炮塔！,,,,,,
NETMESSAGE:KILL THE 5 GUARDS TO ACCESS THE ELEVATOR.,杀死5名守卫以进入电梯。,,,,,,
NETMESSAGE:YOU NEED A SECURITY CARD.,你需要一张安全卡。,,,,,,
NETMESSAGE:YOU NOW HAVE THE SECURITY CARD.,你现在拥有安全卡。,,,,,,
NETMESSAGE:THE MOUNTED GUN NEEDS AMMO.,固定机枪需要弹药。,,,,,,
NETMESSAGE:PLACE AN AMMO BOX IN THE STRIPED AREA FIRST.,首先将弹药箱放在条纹区域。,,,,,,
NETMESSAGE:AN ENNEMY PLATOON IS APPROACHING. DEFEND YOUR POSITION!,一个敌方排正在接近。坚守阵地！,,,,,,
NETMESSAGE:YOU CAN USE THE MOUNTED GUN. IT IS POWERFUL AND FIRES FAST.,你可以使用固定机枪。它威力强大且射速快。,,,,,,
"NETMESSAGE:HOWEVER, IT NEEDS AMMO. PRESS THE RELOAD BUTTON NEXT TO IT TO RELOAD.",然而，它需要弹药。按下旁边的装弹按钮进行装填。,,,,,,
NETMESSAGE:GOOD JOB. A BIGGER PLATOON WILL ATTACK IN 30 SECONDS!,干得好。一个更大的排将在30秒后进攻！,,,,,,
"NETMESSAGE:AS A LAST RESORT, AMMO BOXES CAN EXPLODE IF BROKEN WITH THE CROWBAR.",作为最后手段，用撬棍破坏弹药箱可以使其爆炸。,,,,,,
NETMESSAGE:WELL DONE. ANOTHER PLATOON WILL ATTACK IN 10 SECONDS!,做得很好。另一个排将在10秒后进攻！,,,,,,
NETMESSAGE:GOOD. THE FINAL ATTACK IN OCCUR IN 20 SECONDS!\nPREPARE YOURSELF!,很好。最终攻击将在20秒后发生！\n准备好！,,,,,,
NETMESSAGE:WAIT... SOMETHING IS COMING...,等等……有东西来了……,,,,,,
NETMESSAGE:YOU MUST KILL ALL THE BODY GUARDS.,你必须杀死所有保镖。,,,,,,
NETMESSAGE:A BODY GUARD WAS KILLED.,一名保镖已被杀死。,,,,,,
NETMESSAGE:FREIGHT YARD,货运场,,,,,,
NETMESSAGE:THE FORCE FIELD WAS TURNED OFF.,力场已被关闭。,,,,,,
NETMESSAGE:RPG NOW GIVEN AT SPAWN!,RPG现在在出生点给予！,,,,,,
NETMESSAGE:SNIPER RIFLE NOW GIVEN AT SPAWN!,狙击步枪现在在出生点给予！,,,,,,
NETMESSAGE:M16 NOW GIVEN AT SPAWN!,M16现在在出生点给予！,,,,,,
NETMESSAGE:M249 NOW GIVEN AT SPAWN!,M249现在在出生点给予！,,,,,,
NETMESSAGE:UZI NOW GIVEN AT SPAWN!,UZI现在在出生点给予！,,,,,,
NETMESSAGE:ALL BODY GUARDS WERE KILLED!,所有保镖已被杀死！,,,,,,
"NETMESSAGE:Crossed Paths 2: Freight Yard, by Loulimi",Crossed Paths 2：货运场，作者 Loulimi,,,,,,
NETMESSAGE:Crossed Paths 3 available on scmapdb.com,Crossed Paths 3 可在 scmapdb.com 上获取,,,,,,
NETMESSAGE:YOU ARE MISSING SOME MAP FILES.\nDOWNLOAD THE MAP FROM SCMAPDB.COM,你缺少一些地图文件。\n从SCMAPDB.COM下载地图。,,,,,,
