Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Time to go spearfishing! Hunt all fishes to proceed.,是时候去叉鱼了！猎杀所有鱼才能继续。,,,,,,
NETMESSAGE:Choose M16 Grunt or Shotgun Grunt.,选择M16步枪兵或霰弹枪兵。,,,,,,
NETMESSAGE:M16 was chosen.,M16被选中了。,,,,,,
NETMESSAGE:Shotgun was chosen.,霰弹枪被选中了。,,,,,,
NETMESSAGE:New spawn point reached!,新的重生点已到达！,,,,,,
"NETMESSAGE:Sorry, but the Triforce is in another Castle!",抱歉，但三角力量在另一座城堡！,,,,,,
"NETMESSAGE:Voice: What made you think you were allowed to enter here, HUH!?",声音：是什么让你觉得你可以进入这里，嗯！？,,,,,,
NETMESSAGE:We're done with these lads. Let's get out of here.,这些家伙搞定了，我们离开这里吧。,,,,,,
NETMESSAGE:A shortcut is now available.\n(At the garden door.),现在有一条捷径可用。\n（在花园门口。）,,,,,,
NETMESSAGE:New spawn points unlocked.,新的重生点已解锁。,,,,,,
NETMESSAGE:Here! We can get out through the maintenance access!,这里！我们可以通过维修通道出去！,,,,,,
NETMESSAGE:You have 45 seconds to find and disable every alarm in this room.,你有45秒的时间找到并关闭这个房间里的所有警报器。,,,,,,
NETMESSAGE:Starting area in 5 seconds...,5秒后开始区域...,,,,,,
NETMESSAGE:Go! Disable the alarms before the timer runs out!,快！在时间耗尽前关闭警报器！,,,,,,
NETMESSAGE:You did it! The day is saved!,你做到了！今天得救了！,,,,,,
NETMESSAGE:You've failed!,你失败了！,,,,,,
NETMESSAGE:The exit is now open,出口现在打开了。,,,,,,
NETMESSAGE:Part 2 still under construction.\nThanks for playing!!!,第二部分仍在建设中。\n感谢游玩！！！,,,,,,
NETMESSAGE:You found all 12 picard coins.\nCongratulations!,你找到了全部12枚皮卡德硬币。\n恭喜！,,,,,,
NETMESSAGE:A secret has been found!,发现了一个秘密！,,,,,,
