Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Perhaps some answers can be found here.\nThat symbol looks familiar...,也许这里能找到一些答案。\n那个符号看起来很熟悉...,,,,,,
NETMESSAGE:This is the journal of a scientist who worked here.,这是一位曾在这里工作的科学家的日记。,,,,,,
NETMESSAGE:A secret laboratory hidden within the city.,一个隐藏在城内的秘密实验室。,,,,,,
NETMESSAGE:It seems they were doing tests on an unidentified red material.,看来他们正在对一种未知的红色物质进行测试。,,,,,,
NETMESSAGE:The final puzzle pieces have been found.\nThe research chamber is accessable...,最后的拼图碎片已找到。\n研究舱已可进入...,,,,,,
NETMESSAGE:The red puzzle piece has been found!,红色拼图碎片已找到！,,,,,,
NETMESSAGE:The green puzzle piece has been found!,绿色拼图碎片已找到！,,,,,,
"NETMESSAGE:According to this journal, these scientists\nhave been working on interdimensional gateways.",根据这本日记，这些科学家\n一直在研究跨维度门户。,,,,,,
NETMESSAGE:'Forgot my access card so I cant get into the Labs...\nI dont mind though. Just looking at that red stuff gives me a headache.','我忘了门禁卡所以进不了实验室...\n不过我不在乎。光是看那红色东西就让我头疼。',,,,,,
NETMESSAGE:The blue puzzle piece has been found!,蓝色拼图碎片已找到！,,,,,,
"NETMESSAGE:This world seems to be devoid of any life.\nApart from these huge stone towers,\nthere is little of interest here.",这个世界似乎没有任何生命。\n除了这些巨大的石塔，\n这里没什么值得关注的。,,,,,,
NETMESSAGE:SURVEY REPORT - WORLD T031 'Tower World',勘测报告 - 世界 T031 '塔世界',,,,,,
NETMESSAGE:SURVEY REPORT - WORLD K969 'Purple World',勘测报告 - 世界 K969 '紫色世界',,,,,,
NETMESSAGE:DOOR\nHUNGERS\nKEY,门\n饥饿者\n钥匙,,,,,,
NETMESSAGE:The purple keystone has been found!,紫色钥匙石已找到！,,,,,,
NETMESSAGE:The security card has been found!,安全卡已找到！,,,,,,
NETMESSAGE:SURVEY REPORT - WORLD O211 'Island World',勘测报告 - 世界 O211 '岛屿世界',,,,,,
NETMESSAGE:This world appears to be nothing more than an endless sky.\nThe islands that dot the sky have numerous random structures.,这个世界似乎只是一片无尽的天空。\n点缀在天空中的岛屿上散落着许多随机构造。,,,,,,
NETMESSAGE:The access code for the sample carrier has been found!,样本载体的访问码已找到！,,,,,,
NETMESSAGE:A super secret trigger has been found!,一个超级秘密触发器已找到！,,,,,,
NETMESSAGE:All of the super secret triggers have been found!\nThe gateway to computerland has opened!,所有超级秘密触发器均已找到！\n通往电脑世界的大门已开启！,,,,,,
NETMESSAGE:The yellow puzzle piece has been found!,黄色拼图碎片已找到！,,,,,,
