Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You got a Heart Container!\nYour team's maximum health\nis increased by 10.,你获得了心之容器！\n你的队伍最大生命值\n增加10。,,,,,,
NETMESSAGE:You got a Gold Skulltula token!,你获得了金色蜘蛛徽章！,,,,,,
NETMESSAGE:You got a Gold Skulltula token!,你获得了金色蜘蛛徽章！,,,,,,
NETMESSAGE:You got a Gold Skulltula token!,你获得了金色蜘蛛徽章！,,,,,,
NETMESSAGE:You got a Pink Fairy !\nThis one is special and gave you 10 lives :DDD,你获得了一只粉色的妖精！\n这只特别的妖精给了你10条命：DDD,,,,,,
NETMESSAGE:You got a Recovery Heart!\nThis gives you 10 health!,你获得了回复之心！\n这给你10点生命值！,,,,,,
NETMESSAGE:You got the Fairy Slingshot !,你获得了妖精弹弓！,,,,,,
NETMESSAGE:You got a Gold Skulltula token!,你获得了金色蜘蛛徽章！,,,,,,
NETMESSAGE:Strange voice:\nI'm afraid I can't let you do that just yet...,陌生的声音：\n恐怕我还不能让你这么做……,,,,,,
NETMESSAGE:Saving game data...,正在保存游戏数据……,,,,,,
NETMESSAGE:Save completed.,保存完成。,,,,,,
NETMESSAGE:Rupees: 0,卢比：0,,,,,,
NETMESSAGE:Someone was killed!,有人被杀死了！,,,,,,
NETMESSAGE:WARNING: Deaths are now penalized.,警告：死亡现在将被惩罚。,,,,,,
NETMESSAGE:Notice: Deaths will be excused temporarily.,通知：死亡将暂时被豁免。,,,,,,
NETMESSAGE:GAME OVER\nYou've lost too many lives...,游戏结束\n你失去了太多生命……,,,,,,
"NETMESSAGE:Scrub: Ouch! If you want to get past my brothers down below, remember this code:\nTwenty-three is number one!",小家伙：哎哟！如果你想通过下面我的兄弟们，记住这个代码：\n23是第一名！,,,,,,
NETMESSAGE:You got a Pink Fairy !\nThis will respawn one dead player.,你获得了一只粉色的妖精！\n这将复活一名死去的玩家。,,,,,,
NETMESSAGE:Kill Deku Scrubs with Deku Nuts\nor the Slingshot!,用德库坚果或弹弓\n杀死德库矮子！,,,,,,
NETMESSAGE:This web on the floor is strong.\nIt's going to take at least two people\nto break it.,地板上的蛛网很坚固。\n至少需要两个人\n才能打破它。,,,,,,
NETMESSAGE:Webs blocking our path can burned down.\nIs there anything we can ignite this with?,挡住我们的蛛网可以烧毁。\n我们有什么东西可以点燃它吗？,,,,,,
NETMESSAGE:These scrubs must be killed in order.\nRemember the clue you got earlier?\nTwenty-three is number one !,这些矮子必须按顺序杀死。\n还记得你之前得到的线索吗？\n23是第一名！,,,,,,
NETMESSAGE:The torch in this room burned out.\nTry lighting it with a Deku Stick!,这个房间的火把熄灭了。\n尝试用德库棒点燃它！,,,,,,
NETMESSAGE:Big Skulltulas can't be hurt from the front.\nGet someone to distract it while you attack!,大蜘蛛从正面无法伤害。\n让一个人吸引它的注意力，你攻击！,,,,,,
NETMESSAGE:This wall can be broken only with explosives.\nHave any Deku nuts with you?,这堵墙只能用炸药破坏。\n你身上有德库坚果吗？,,,,,,
