Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Survivors have been located.,已发现幸存者。,,,,,,
NETMESSAGE:Hold the crash-Site untill the reinforces arive.,守住坠机地点直到增援到达。,,,,,,
NETMESSAGE:Thank you for playing...  Your mission is over....,感谢您的游玩……您的任务已经结束……,,,,,,
NETMESSAGE:sc_opd is made by: Mr. Me,sc_opd 由 Mr. Me 制作。,,,,,,
NETMESSAGE:Key for the garagedoor has been found.,车库门的钥匙已找到。,,,,,,
NETMESSAGE:5 minutes untill reinforces arive...,5分钟后增援到达……,,,,,,
NETMESSAGE:3 minutes untill reinforces arive...,3分钟后增援到达……,,,,,,
NETMESSAGE:1 minute untill reinforces arive...,1分钟后增援到达……,,,,,,
NETMESSAGE:Spawn point changed,重生点已变更。,,,,,,
NETMESSAGE:there is an APC on the other side of those houses...,那些房子的另一边有一辆APC……,,,,,,
