Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Play Begins In 25 Seconds!,比赛将在25秒后开始！,,,,,,
NETMESSAGE:Play Begins In 10 Seconds!,比赛将在10秒后开始！,,,,,,
NETMESSAGE:EXECUTE GREETING PROTOCOL,执行问候协议,,,,,,
"NETMESSAGE:Don't mind him, he's been restless since the Vive was announced.",别介意他，自从Vive发布后他就一直坐立不安。,,,,,,
NETMESSAGE:THEY STOLE MY EYES FOR THEIR ENTERTAINMENT DEVICE. INTRUDERS INCOMING TO AMMO ROOM,他们为了他们的娱乐设备偷走了我的眼睛。入侵者正在前往弹药库,,,,,,
NETMESSAGE:Go wrench that problem for us.,去帮我们把那个问题扳手解决掉。,,,,,,
NETMESSAGE:UNDERWHELMING CHUCKLE PROJECTED TOWARDS PUNY HUMAN INVADERS,对渺小的人类入侵者发出乏味的轻笑,,,,,,
"NETMESSAGE:Quite, but while that was happening something involving the water tank occured.",确实，但在那期间，发生了与水槽有关的事情。,,,,,,
NETMESSAGE:If you can turn the awkwardly placed main valve the sharks will probably stop spawning.,如果你能转动那个位置尴尬的主阀门，鲨鱼可能就会停止刷出来。,,,,,,
NETMESSAGE:AH YES KING SHARK MADE TROUBLESOME RESPAWNING BABIES AGAIN,啊是的，鲨鱼王又制造了麻烦的复活宝宝,,,,,,
NETMESSAGE:Aux Tank Corridor Available,辅助水箱走廊已开放,,,,,,
NETMESSAGE:OH THE HUMANITY. GUESS WHERE YOU HAVE TO CRAWL NOW.,哦我的老天。猜猜你现在得爬到哪里去。,,,,,,
"NETMESSAGE:Ah, it would appear the shark has figured out how to lock doors.",啊，看来鲨鱼已经学会了锁门。,,,,,,
NETMESSAGE:Aux Tank Room Available,辅助水箱室已开放,,,,,,
NETMESSAGE:CONGRATULATIONS BUT NO PIE YET,祝贺但还没有馅饼,,,,,,
NETMESSAGE:It would appear a group of militants are heading our way.,看来有一群武装分子正在朝我们这边过来。,,,,,,
NETMESSAGE:HUMANS ARE ADVISED TO GREET MILITANTS WITH BULLET HANDSHAKES,建议人类用子弹握手来问候武装分子,,,,,,
NETMESSAGE:They're attacking via the outdoor power area.,他们正通过室外电力区进攻。,,,,,,
NETMESSAGE:Outdoor Power Area Available,室外电力区已开放,,,,,,
"NETMESSAGE:Nice work, but there's more heading your way",干得好，但还有更多敌人正朝你这边过来,,,,,,
NETMESSAGE:AND NOW FOR NO REASON WE SHALL CONDUCT AN EXPERIMENT.,现在毫无理由地，我们将进行一次实验。,,,,,,
NETMESSAGE:Before we start we need you to enable the power.,在我们开始之前，你需要启动电源。,,,,,,
NETMESSAGE:IF YOU CANNOT FIND SWITCH YOU ARE FIRED,如果你找不到开关，你被解雇了,,,,,,
NETMESSAGE:PORTAL HAS LATEST WINDOWS UPDATES INSTALLED. NO MONSTERS GUARANTEED,传送门已安装最新Windows更新。保证没有怪物,,,,,,
NETMESSAGE:Surely that wouldn't happen 65536 times in a row.,当然不可能连续发生65536次。,,,,,,
NETMESSAGE:Upper and Lower Test Areas Available,上层和下层测试区已开放,,,,,,
NETMESSAGE:YOUR SWITCH ACTIVATING SKILLS EXCEED MY EXPECTATIONS. TEST COMMENCING,你的开关激活技巧超出了我的预期。测试开始,,,,,,
NETMESSAGE:I think he's trying to say good job team.,我想他是在说干得好团队。,,,,,,
NETMESSAGE:ALIEN SCUM DISPATCHED VIA METAL SHARD TO HEAD,外星渣滓被金属碎片击中头部消灭,,,,,,
NETMESSAGE:DEACTIVATING ENTITIES TO CREATE ILLUSION OF PORTAL SHUT DOWN,停用实体以制造传送门关闭的假象,,,,,,
NETMESSAGE:EXCLAMATION! ENEMIES INBOUND TO CONTROL ROOM,感叹！敌人正在前往控制室,,,,,,
NETMESSAGE:Sure didn't see that coming.,当然没料到那件事。,,,,,,
NETMESSAGE:ROBOT SUGGESTS SURRENDING POLITELY IN THE FORM OF MINDLESS VIOLENT RETALIATION,机器人建议以无脑暴力报复的形式礼貌投降,,,,,,
NETMESSAGE:It would appear there is absolutely nothing wrong in the specimen corridor.,看来标本走廊里绝对没有任何问题。,,,,,,
NETMESSAGE:ROBOT DETECTS 80% SARCASM 20% HORRID SELFAWARENESS,机器人检测到80%的讽刺和20%的可怕自我意识,,,,,,
NETMESSAGE:Observation Area Available,观察区已开放,,,,,,
NETMESSAGE:PRIMARY TARGET [PROBABLY] ELIMINATED,主要目标[大概]已被消灭,,,,,,
NETMESSAGE:It would appear some militant faction has captured a crystal of ours.,看来某个武装派系缴获了我们的一块水晶。,,,,,,
NETMESSAGE:ROBOT REQUIRES CRYSTAL TO ADD TO MACGUFFIN CABINET,机器人需要水晶来添加到麦高芬柜中,,,,,,
NETMESSAGE:It's a trap!,这是个陷阱！,,,,,,
NETMESSAGE:THIS MAY BE TOO LATE BY THE TIME YOU READ THIS BUT ENEMIES INCOMING,当你读到这条消息时可能已经太晚了，但敌人正在入侵,,,,,,
NETMESSAGE:Well done you retrieved the real... whatever!,干得好，你取回了真正的……不管是什么！,,,,,,
NETMESSAGE:ROBOT DETECTS LAST DITCH EFFORT TO ANNOY PLAYER,机器人检测到激怒玩家的垂死挣扎,,,,,,
NETMESSAGE:Get to the storage room at the back quick!,快跑到后面的储藏室！,,,,,,
NETMESSAGE:Yes! Good job! Looks like at least one of you is still alive.,是的！干得好！看来你们中至少还有一个人活着。,,,,,,
NETMESSAGE:CONGRATULATORY RUNTIME ERROR,祝贺性运行时错误,,,,,,
NETMESSAGE:Your cheques in the mail. Probably would be better if we knew your postal address though.,你的支票在邮件里。但如果我们知道你的邮政地址可能会更好。,,,,,,
NETMESSAGE:Oh my you didn't save the crystal.,哦天哪，你没有保存水晶。,,,,,,
NETMESSAGE:Maybe we should stop recruiting online rookie SvenCo-op players.,也许我们不应该再招募线上菜鸟SvenCo-op玩家了。,,,,,,
NETMESSAGE:UPLOADING VIDEO CAPTURE TO YOUTUBE FAIL COMPILATION CHANNEL,正在上传视频到YouTube失败合集频道,,,,,,
"NETMESSAGE:Congratulations, looks like we can all live to see another day.",恭喜，看来我们都能活到明天了。,,,,,,
NETMESSAGE:YOU MAY ALL GO REST YOUR SHINS UNTIL THE NEXT TIME SOME IDIOT LOADS THE MAP,你们都可以去休息你的小腿了，直到下次某个白痴加载这张地图,,,,,,
