Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:For every ship I down, ten take its place.",我每击沉一艘舰船，就有十艘取而代之。,,,,,,
NETMESSAGE:It's true. There are too many invading,没错，入侵的舰船实在太多，,,,,,,
NETMESSAGE:ships to take them all out conventionally.,无法像往常一样全部击落。,,,,,,
"NETMESSAGE:There may be a way to defeat all the aliens at once, however.",然而，或许有一种方法可以一次性消灭所有外星人。,,,,,,
NETMESSAGE:The bridge up ahead has been destroyed by the aliens.,前方的那座桥已被外星人摧毁。,,,,,,
NETMESSAGE:The military base set up to guard it is under alien control.,原本守卫这座桥的军事基地已被外星人控制。,,,,,,
NETMESSAGE:The aliens have implanted a neural evoker inside the base's commander.,外星人在基地指挥官体内植入了神经激发装置。,,,,,,
NETMESSAGE:surrounding area. These 'controlled' grunts took you,周围的区域。这些被“控制”的士兵在研究所俘虏了你，,,,,,,
"NETMESSAGE:prisoner at the research facility. If you eliminate this comander,",如果你消灭这名指挥官，,,,,,,
NETMESSAGE:you with a tactical crossbow to snipe the commander from a safe distance.,我把一把战术弩给你，让你在安全距离狙击他。,,,,,,
"NETMESSAGE:When you complete this task, return to me for further instructions.",完成任务后，回来向我汇报。,,,,,,
"NETMESSAGE:Excellent work! Here, take the keys to my APC.",干得漂亮！拿着，这是步战车的钥匙。,,,,,,
NETMESSAGE:It will be useful in finding an unorthodox way into the compound.,它会帮你找到一条非常规路线进入基地。,,,,,,
"NETMESSAGE:Once you get into the compound, I'm sure the remaining grunts",一旦你进入基地，我相信剩下的士兵,,,,,,
"NETMESSAGE:will aid you in attacking the alien mothership,",会协助你攻击外星母舰，,,,,,,
NETMESSAGE:which is at the end of the valley.,它就在峡谷的尽头。,,,,,,
"NETMESSAGE:Once you hijack the ship, pilot it into orbit,",一旦你劫持那艘船，就驾驶它进入轨道，,,,,,,
NETMESSAGE:where you will be able to annihilate all other enemy,在那里你可以用飞船的先进武器,,,,,,
NETMESSAGE:machinery using the spacecraft's advanced weaponry.,摧毁所有其他敌方机械。,,,,,,
"NETMESSAGE:Good luck, soldier.",祝你好运，士兵。,,,,,,
"NETMESSAGE:Through him, they control all of the humans in the",通过他，他们控制了周围所有的人类。,,,,,,
NETMESSAGE:the aliens will lose their control on the grunts. I have supplied,外星人就会失去对士兵的控制。我给你提供了,,,,,,
