Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Team has located Disk 1.,小队已经找到了磁盘1。,,,,,,
NETMESSAGE:You'll need a silver key for the office. Find it.,你需要一把银钥匙才能进入办公室。去找吧。,,,,,,
NETMESSAGE:Team has located Disk 2. Erasing HAL's memory...,小队已经找到了磁盘2。正在擦除哈尔的记忆……,,,,,,
NETMESSAGE:Turrets has been activated!,炮塔已激活！,,,,,,
"NETMESSAGE:'I will enjoy watching you die, humans.' - HAL",‘我会很享受看着你们死去，人类。’——哈尔,,,,,,
NETMESSAGE:Team located a silver key.,小队找到了一把银钥匙。,,,,,,
NETMESSAGE:Map created by Fortune2,地图由 Fortune2 创建,,,,,,
NETMESSAGE:Story by Fortune2,故事由 Fortune2 编写,,,,,,
NETMESSAGE:Sounds from 2001: A Space Odyssey,音效来自《2001太空漫游》,,,,,,
NETMESSAGE:Special thanks to Dr. Hux and Beast,特别感谢 Dr. Hux 和 Beast,,,,,,
NETMESSAGE:And those that play Sven-Coop,以及游玩 Sven-Coop 的各位,,,,,,
NETMESSAGE:'Here rest Rugal...',‘鲁加尔长眠于此……’,,,,,,
"NETMESSAGE:Lt. Zimmern - Well... well, what have we here?",Zimmern中尉——嗯……嗯，我们这儿有什么？,,,,,,
NETMESSAGE:You've unlocked the Mini Game!,你已经解锁了小游戏！,,,,,,
"NETMESSAGE:You have 5 minutes, to shoot 5 lights, like this one.",你有5分钟的时间，去射中5盏灯，就像这盏一样。,,,,,,
NETMESSAGE:Times Up! Did you win?!,时间到！你赢了吗？！,,,,,,
NETMESSAGE:'I... won't... lose... to... humans...' - HAL,‘我……不会……输给……人类……’——哈尔,,,,,,
NETMESSAGE:You hear a helicopter in the distance...,你听到远处有直升机的声音……,,,,,,
NETMESSAGE:You unlocked some secrets...,你解锁了一些秘密……,,,,,,
NETMESSAGE:Die!,去死吧！,,,,,,
NETMESSAGE:Get out of my room!!!,滚出我的房间！！！,,,,,,
