Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Oh,it looks like a portal?",哦，它看起来像一扇传送门？,,,,,,
NETMESSAGE:Great! Now the maindoor open.,太好了！现在主门打开了。,,,,,,
NETMESSAGE:Note: Your team must find out and destroy all blue boxes.,注意：你的队伍必须找到并摧毁所有蓝色箱子。,,,,,,
"NETMESSAGE:Attention, new spawn activated.",注意，新的出生点已激活。,,,,,,
NETMESSAGE:Now the 4F door open!,现在4楼的门打开了！,,,,,,
NETMESSAGE:Note:Now your team must find out and destroy all green cubes.,注意：现在你的队伍必须找到并摧毁所有绿色方块。,,,,,,
"NETMESSAGE:Players,Thank you to saving me!",玩家们，感谢你们救了我！,,,,,,
"NETMESSAGE:As a reward,I can tell you something about HalfLife3.",作为奖励，我可以告诉你一些关于半条命3的事情。,,,,,,
"NETMESSAGE:Note: Nice job! Players,game will ending in 40s.",注意：干得好！玩家们，游戏将在40秒后结束。,,,,,,
NETMESSAGE:H.E.V.body found.(+200),H.E.V.身体被发现。（+200）,,,,,,
