Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Level 1 keycard found.\n\nAll level 1 doors can now be opened.,找到一级门禁卡。\n\n现在可以打开所有一级门了。,,,,,,
NETMESSAGE:The elevator is now powered on.\n\nYou can travel between floors.,电梯已通电。\n\n你可以在楼层间移动。,,,,,,
NETMESSAGE:Level 1 keycard required.,需要一级门禁卡。,,,,,,
NETMESSAGE:This elevator is currently switched off.\n\nYou need to activate it at the security station.,此电梯已关闭。\n\n你需要在安保站激活它。,,,,,,
NETMESSAGE:STOP THAT GUARD BEFORE HE CALLS FOR BACKUP!!,阻止那个守卫，别让他呼叫增援！！,,,,,,
NETMESSAGE:Level 2 keycard found.\n\nAll level 2 doors can now be opened.,找到二级门禁卡。\n\n现在可以打开所有二级门了。,,,,,,
NETMESSAGE:Level 2 keycard required.,需要二级门禁卡。,,,,,,
NETMESSAGE:Jail cell key required.,需要牢房门钥匙。,,,,,,
NETMESSAGE:Jail cell key found.\n\nThe hostages can be rescued!,找到牢房门钥匙。\n\n可以营救人质了！,,,,,,
NETMESSAGE:The gang boss has been killed!\n\nHe must have left the jail cell\nkey in this office somewhere...,帮派头目已被击杀！\n\n他一定把牢房门\n钥匙留在了这间办公室的某处……,,,,,,
NETMESSAGE:Use the phone to see your mission objectives.,使用电话查看任务目标。,,,,,,
NETMESSAGE:Level 3 keycard required.,需要三级门禁卡。,,,,,,
NETMESSAGE:Level 3 keycard found.\n\nAll level 3 doors can now be opened.,找到三级门禁卡。\n\n现在可以打开所有三级门了。,,,,,,
NETMESSAGE:The hostage cells are unlocked.\n\nEscort them to the radio room for safe keeping.,人质牢房已解锁。\n\n护送他们到无线电室以确保安全。,,,,,,
NETMESSAGE:A hostage has died!,一名人质已经死亡！,,,,,,
NETMESSAGE:You need to find the code for this safe.,你需要找到这个保险柜的密码。,,,,,,
NETMESSAGE:Secret documents have been acquired.,已获取机密文件。,,,,,,
NETMESSAGE:Calling for extraction...,正在呼叫撤离……,,,,,,
NETMESSAGE:MISSION FAILED,任务失败,,,,,,
NETMESSAGE:All objectives must be completed with the\nhostages in the radio room before extraction.,在撤离前，所有目标必须完成且\n人质必须在无线电室内。,,,,,,
NETMESSAGE:All objectives completed successfully.\n\nUse a radio to call an Osprey for extraction.,所有目标已成功完成。\n\n使用无线电呼叫鱼鹰飞机撤离。,,,,,,
NETMESSAGE:MISSION COMPLETE,任务完成,,,,,,
NETMESSAGE:A hostage has left the safe zone!,一名人质离开了安全区！,,,,,,
NETMESSAGE:All hostages have been rescued.,所有人质已获救。,,,,,,
NETMESSAGE:A hostage has entered the safe zone.,一名人质进入了安全区。,,,,,,
NETMESSAGE:Where is that guard running???\n\nWe had better stop him!,那个守卫在往哪里跑？？？\n\n我们最好拦住他！,,,,,,
NETMESSAGE:60 seconds remaining,剩余60秒,,,,,,
NETMESSAGE:3 minutes remaining,剩余3分钟,,,,,,
NETMESSAGE:5 minutes remaining,剩余5分钟,,,,,,
NETMESSAGE:10 minutes remaining,剩余10分钟,,,,,,
NETMESSAGE:15 minutes remaining,剩余15分钟,,,,,,
