Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Looks like the magenta crystal has been stolen!,看来品红色水晶被偷了！,,,,,,
NETMESSAGE:Your team have found a security center,你的队伍发现了一个安全中心,,,,,,
NETMESSAGE:that we can find the security camera records.,这样我们就可以找到安全摄像头记录。,,,,,,
NETMESSAGE:This is tor!,这是托尔！,,,,,,
NETMESSAGE:A crystal has destroyed!,一个水晶被摧毁了！,,,,,,
NETMESSAGE:You?re too close!,你离得太近了！,,,,,,
NETMESSAGE:Oh no! The tor is using the crystals,哦不！托尔正在使用水晶,,,,,,
NETMESSAGE:for his power!,来增强他的力量！,,,,,,
NETMESSAGE:This map has created,这个地图已创建,,,,,,
NETMESSAGE:Lead beta tester:,首席测试员：,,,,,,
NETMESSAGE:by Alpha-Man,由Alpha-Man,,,,,,
NETMESSAGE:Other tester:,其他测试员：,,,,,,
NETMESSAGE:Ideas:,创意：,,,,,,
NETMESSAGE:Thanks to T-Rex,感谢T-Rex,,,,,,
NETMESSAGE:for compile the maps.,帮忙编译地图。,,,,,,
NETMESSAGE:Thank you for playing :),感谢游玩 :),,,,,,
NETMESSAGE:Here is my gift mini fun zone for you :D,这是我为你准备的小型趣味区域 :D,,,,,,
NETMESSAGE:Surf time!,冲浪时间！,,,,,,
NETMESSAGE:We need destroy the crystals!,我们必须摧毁水晶！,,,,,,
