Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:11:21 PM: Simultaneously, each window on the bottom floor shatters",11:21 PM: 同时，底层楼的每扇窗户都碎裂了。,,,,,,
"NETMESSAGE:However, several individuals who have been cowering in the darkness upstairs",然而，几个蜷缩在楼上黑暗中的人,,,,,,
NETMESSAGE:11:04 PM: There is a blackout. The partygoers huddle together in fear.,11:04 PM: 停电了。派对参加者恐惧地挤在一起。,,,,,,
"NETMESSAGE:October 31, 2000: The masquerade party that",2000年10月31日：那场化装舞会,,,,,,
NETMESSAGE:was hosted tonight ended in disaster.,今晚举办的这场舞会以灾难告终。,,,,,,
NETMESSAGE:under the voracious claws of dozens of undead creatures.,在数十只不死生物贪婪的利爪下。,,,,,,
"NETMESSAGE:The zombies pile into the residence, slaughtering",僵尸们涌入住宅，屠杀,,,,,,
NETMESSAGE:people quickly and savagely.,人们迅速而野蛮地被屠杀。,,,,,,
"NETMESSAGE:shine a flashlight into the carnage, witnessing the ghastly reanimation",用手电筒照亮这场屠杀，目睹可怕的复活,,,,,,
NETMESSAGE:of their former friends. These few remaining humans lock themselves,他们昔日朋友的复活。这少数幸存的人类将自己锁在,,,,,,
"NETMESSAGE:in a bedroom, where hope shows its face in the form of a steel crowbar...",一间卧室里，在那里希望以一根钢撬棍的形式出现...,,,,,,
NETMESSAGE:Objective: Escape from this house of horrors and make your way to the,目标：逃离这座恐怖之屋，前往,,,,,,
NETMESSAGE:cemetery. The mausoleum there may provide welcome refuge from these,墓地。那里的陵墓可能为躲避这些,,,,,,
NETMESSAGE:horrid abominations.,可怕的怪物提供宜人的庇护所。,,,,,,
