Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:They are here! Destroy the Archangels!,他们来了！摧毁大天使们！,,,,,,
NETMESSAGE:All the defenders of Godom perished. Thus ends the story of Godom.,所有Godom的保卫者都牺牲了。因此Godom的故事结束了。,,,,,,
NETMESSAGE:Difficulty not chosen.,未选择难度。,,,,,,
NETMESSAGE:Easy difficulty selected,选择了简单难度。,,,,,,
NETMESSAGE:Hard difficulty selected. Weapons and longjump will respawn as normal.,选择了困难难度。武器和长跳将正常重生。,,,,,,
NETMESSAGE:Five minutes until the clouds above Godom rain fire.,五分钟后，Godom上空的云层将降下火焰。,,,,,,
NETMESSAGE:Three minutes until the clouds above Godom rain fire.,三分钟后，Godom上空的云层将降下火焰。,,,,,,
NETMESSAGE:One minute until the clouds above Godom rain fire.,一分钟后，Godom上空的云层将降下火焰。,,,,,,
NETMESSAGE:That day it rained fire upon the city. Thus ends the story of Godom.,那一天，天降火雨于城市。Godom的故事就此终结。,,,,,,
NETMESSAGE:The Rat of Returning has been sacrificed! A soul may return!,归来之鼠已被献祭！一个灵魂可以回归！,,,,,,
NETMESSAGE:The city is safe. Jahm is wounded. Godom shall prosper. Thus ends the story.,城市安全了。Jahm受伤了。Godom将繁荣。故事就此结束。,,,,,,
NETMESSAGE:The city of Godom.,Godom之城。,,,,,,
NETMESSAGE:A city of sinners.,罪恶之城。,,,,,,
NETMESSAGE:A rain of fire will soon consume it.,一场火雨即将吞噬它。,,,,,,
NETMESSAGE:More are coming! Destroy the Archangels! Jahm will again need seven minutes to charge up his powers...,更多敌人来了！摧毁大天使们！Jahm将再次需要七分钟来充能他的力量...,,,,,,
NETMESSAGE:Once more! These must be the last... Destroy the Archangels! Jahm must once again recharge his powers!,再一次！这必须是最后一次……摧毁大天使们！Jahm必须再次充能他的力量！,,,,,,
NETMESSAGE:Hard difficulty selected. Respawn time for weapons and longjump increased.,选择了困难难度。武器和长跳的重生时间增加。,,,,,,
