Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:DuckHunt\n I want to travel south this year.,DuckHunt\n 今年我想去南方旅行。,,,,,,
NETMESSAGE:DaGreatOneMPG\n DIE DIE DIE!!!,DaGreatOneMPG\n 死！死！死！！！,,,,,,
NETMESSAGE:DesertGoldfish\n Fish can't live in the desert,DesertGoldfish\n 鱼不能在沙漠里生存,,,,,,
NETMESSAGE:RallyRacer\n Who says money can't buy happiness?,RallyRacer\n 谁说金钱买不到幸福？,,,,,,
NETMESSAGE:Zero_C\n Lovemuffins r me!,Zero_C\n Lovemuffins就是我！,,,,,,
NETMESSAGE:LimeGreenNinja \n Sleep is the mind killer.,LimeGreenNinja \n 睡眠是心灵杀手。,,,,,,
NETMESSAGE:Eclipse\n You don't need a parachut to go skydiving.\n You only need a parachute to go skydiving twice.,Eclipse\n 跳伞不需要降落伞。\n 只有第二次跳伞才需要降落伞。,,,,,,
NETMESSAGE:Thor-Stryker\n Damn LPB's!,Thor-Stryker\n 该死的LPB们！,,,,,,
NETMESSAGE:TurtleWax\nNot actually in the clan,TurtleWax\n其实不在氏族里,,,,,,
NETMESSAGE:iLuSiON\n I LOVE ASHLEY,iLuSiON\n 我爱ASHLEY,,,,,,
NETMESSAGE:Maelstrom\n I love the smell of napalm in the morning.\n Smells,Maelstrom\n 我喜欢早晨凝固汽油弹的味道。\n 闻起来,,,,,,
NETMESSAGE:aRCeNiTE\n Bow Down To The Grandmaster,aRCeNiTE\n 向大师低头,,,,,,
NETMESSAGE:Blaze\n Thank you sir may I have another?,Blaze\n 谢谢先生，能再来一次吗？,,,,,,
NETMESSAGE:DrDeath\n Its time for the doctor to operate,DrDeath\n 是医生动手术的时候了,,,,,,
NETMESSAGE:Gogeta\n :\,Gogeta\n :\\,,,,,,
