Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You've found a mechanical key!,你找到了机械钥匙！,,,,,,
NETMESSAGE:Elevator leaves in 30 seconds!,电梯将在30秒后离开！,,,,,,
NETMESSAGE:You've found a handwelder!,你找到了手焊枪！,,,,,,
NETMESSAGE:You've found a mechanical key!,你找到了机械钥匙！,,,,,,
"NETMESSAGE:Damn this door didnt open, give me few seconds to hack it",该死，这门没开，给我几秒钟破解它,,,,,,
NETMESSAGE:You have 30 seconds time to get in truck before it leaves,你有30秒时间上车，之后卡车就开走了,,,,,,
NETMESSAGE:Keep yourself inside the truck when going past the garagedoor,通过车库门时请待在卡车里,,,,,,
"NETMESSAGE:Congratulations, youve managed to secure our warehouse from those maggots",恭喜，你成功地从那些蛆虫手中保护了我们的仓库,,,,,,
NETMESSAGE:Too bad you caused us pain in the ass with this wreck of a truck,可惜你这辆破车给我们带来了麻烦,,,,,,
NETMESSAGE:Map: Streamfox and RNG,地图：Streamfox 和 RNG,,,,,,
"NETMESSAGE:Music: Marine Sharpshooter 3, Descent 2 PSX. Outro: RNG","音乐：Marine Sharpshooter 3, Descent 2 PSX。片尾：RNG",,,,,,
"NETMESSAGE:Dont mind of that truck, we have a next assigment for you in moment",别管那辆卡车了，我们马上有下一个任务给你,,,,,,
"NETMESSAGE:The train doesnt look very safe, lets keep distance from eachother while in",这火车看起来不太安全，我们进去后保持距离,,,,,,
