Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Welcome aboard sir.  We are approaching the island now.,欢迎登船，先生。我们正在接近岛屿。,,,,,,
NETMESSAGE:It is believed that our lost ship is somewhere deep inland.,据信，我们失踪的船就在内陆深处某个地方。,,,,,,
NETMESSAGE:Your mission is to find it.  Good luck.,你的任务是找到它。祝你好运。,,,,,,
NETMESSAGE:The way is shut.  You'll have to find another way in.,路被封了。你得另找入口。,,,,,,
NETMESSAGE:It's a page from a journal.  It reads?,这是日记的一页。上面写着？,,,,,,
NETMESSAGE:An evil has driven us from our main camp.,一股邪恶势力将我们赶出了主营地。,,,,,,
NETMESSAGE:We have set up another camp on the south side of the island.,我们在岛屿南侧建立了另一个营地。,,,,,,
NETMESSAGE:And buried our treasure along the shore?,并把财宝埋在了岸边？,,,,,,
NETMESSAGE:You found the treasure map.,你找到了藏宝图。,,,,,,
NETMESSAGE:The treasure is located near a rock on the north side of the island.,财宝位于岛屿北侧的一块岩石附近。,,,,,,
NETMESSAGE:This is all that remains of the lost ship's crew.,这就是失踪船只船员留下的全部。,,,,,,
NETMESSAGE:You found the treasure!,你找到了财宝！,,,,,,
NETMESSAGE:It's another page from the journal.  It reads?,这是日记的另一页。上面写着？,,,,,,
NETMESSAGE:Inside this box lies the key to the island.,这个盒子里藏着岛屿的钥匙。,,,,,,
NETMESSAGE:Give it to the gatekeeper and you will be let in.,把它交给守门人，就会被放行。,,,,,,
NETMESSAGE:An entrance to the island has been unlocked.,一个岛屿入口已被解锁。,,,,,,
NETMESSAGE:An entrance has opened on the north side of the island.,岛屿北侧的一个入口已打开。,,,,,,
NETMESSAGE:It's a map to the lost crew's tree house.  Search for it in the northwest.,这是失踪船员树屋的地图。在西北方向寻找。,,,,,,
NETMESSAGE:To who ever finds this?,致找到此物的人？,,,,,,
NETMESSAGE:If you have come this far then perhaps you are willing to go a little further.,如果你已经走到这一步，或许你愿意再往前走一点。,,,,,,
NETMESSAGE:The Dryads know all the island's secrets.  You must speak with the Dryads.,树精知道岛屿的所有秘密。你必须和树精交谈。,,,,,,
NETMESSAGE:The ship you seek lies in the depths of the island.,你寻找的船就在岛屿深处。,,,,,,
NETMESSAGE:You must reach the highest peak before you can travel to the deep.,你必须到达最高峰，才能前往深处。,,,,,,
NETMESSAGE:A passage to the deep has been opened.,通往深处的一条通道已打开。,,,,,,
NETMESSAGE:The lost ship has been found!,失踪的船已被找到！,,,,,,
NETMESSAGE:The scroll reads....  ARGHHHHHH SHIT LOOKOUT!,卷轴上写着.... 啊！！！操，小心！,,,,,,
NETMESSAGE:You win! Good job.,你赢了！干得好。,,,,,,
NETMESSAGE:HEY YOU GUYS!,嘿，你们几个！,,,,,,
NETMESSAGE:Find the key near the middle of the island to open the captain's quarters.,在岛屿中部附近找到钥匙，打开船长室。,,,,,,
NETMESSAGE:Entrance to the West is now open.,西侧入口现已打开。,,,,,,
NETMESSAGE:Entrance to the North is now open.,北侧入口现已打开。,,,,,,
NETMESSAGE:Entrance to the East is now open.,东侧入口现已打开。,,,,,,
NETMESSAGE:Entrance to the South is now open.,南侧入口现已打开。,,,,,,
