Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:A Mekhanikal key has been found,找到了一把Mekhanikal钥匙,,,,,,
"NETMESSAGE:This glassmaterial is bulletproof, but pretty weak for wide impact. Lets try throw something to it",这种玻璃材料防弹，但对大面积冲击很脆弱。我们试试扔点东西过去。,,,,,,
NETMESSAGE:A Mekhanikal key has been found,找到了一把Mekhanikal钥匙,,,,,,
"NETMESSAGE:Goddamn, this room is full of hazardous spores. We need to get ventilation running",该死，这个房间充满了危险孢子。我们需要让通风系统运转起来。,,,,,,
"NETMESSAGE:We might want to try get this grate to open, i see some overriding here",我们也许该试试打开这个栅栏，我看到这里有某种覆盖机制。,,,,,,
"NETMESSAGE:All the other beasts they let go, im trapped here and boreing to death. There is a Datadisc inside that rusty cabinet",他们放走了所有其他怪物，我却被困在这里无聊得要死。那个生锈的柜子里有一张数据盘。,,,,,,
NETMESSAGE:A Mekhanikal key has been found,找到了一把Mekhanikal钥匙,,,,,,
"NETMESSAGE:A mass storage datacube has been found, should give more priviledge with these doors",找到了一个海量存储数据立方体，应该能对这些门提供更多权限。,,,,,,
"NETMESSAGE:Fuck Shit, the button is broken",操，按钮坏了。,,,,,,
NETMESSAGE:High-mass EMP pipebomb has been found,找到了一个高能EMP管状炸弹。,,,,,,
"NETMESSAGE:Security override key has been found, also Battery for the doublebarrel tank",找到了安全覆盖钥匙，以及双管坦克的电池。,,,,,,
"NETMESSAGE:Dang this control panel is pretty messed up, lets see if i can get atleast something to work",哎呀这个控制面板真够乱的，看看我能不能至少让它动点什么。,,,,,,
"NETMESSAGE:DEMO: Your team has advanced further the base, nobody knows what there will be in deeper",DEMO: 你的队伍已经深入基地，没人知道更深的地方会有什么。,,,,,,
"NETMESSAGE:Well holy shit, this place is much much bigger than we thought. all these weird schematics and stuff",我靠，这个地方比我们想象的要大得多。所有这些奇怪的图纸之类的东西。,,,,,,
