Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:The elevator is locked with the Level 03 Keycard. We must find that card!,电梯被三级门禁卡锁住了。我们必须找到那张卡！,,,,,,
NETMESSAGE:Looks like the only way now is up that hole in the roof...,看来现在唯一的出路就是屋顶上那个洞了……,,,,,,
NETMESSAGE:Bay A1 is now avilable!,A1 仓已开放！,,,,,,
NETMESSAGE:Safety Hood One has been disabled!,安全罩一号已被关闭！,,,,,,
NETMESSAGE:Bay A2 is now avilable!,A2 仓已开放！,,,,,,
NETMESSAGE:You have collected the Level 03 Keycard!,你已获得三级门禁卡！,,,,,,
NETMESSAGE:You have unlocked the Control room!,你已解锁控制室！,,,,,,
NETMESSAGE:Safety Hood Two has been disabled!,安全罩二号已被关闭！,,,,,,
NETMESSAGE:Now that both Safety Hoods are disabled we should be able to get into the Main Lab...,现在两个安全罩都已关闭，我们应该能进入主实验室了……,,,,,,
NETMESSAGE:Now we can open the Door at the top of the stairs!,现在我们能打开楼梯顶端的门了！,,,,,,
NETMESSAGE:We must be able to find that passcode in there...,我们一定能在里面找到那个密码……,,,,,,
NETMESSAGE:You have collected the Code number! Now we can open the KeyCode lock!,你已获得密码数字！现在我们可以打开密码锁了！,,,,,,
NETMESSAGE:Holy!? Quick take cover under the tables!!,天哪！？快躲到桌子底下！！,,,,,,
NETMESSAGE:We'll need to turn off both Safty hoods to open this door....,我们需要关闭两个安全罩才能打开这扇门……,,,,,,
NETMESSAGE:Now we have finshed off that monster we can exit up the elevator...,现在我们已经干掉了那个怪物，可以乘电梯出去了……,,,,,,
"NETMESSAGE:Phew, I'm glad thats over!",呼，总算结束了！,,,,,,
NETMESSAGE:Oh No! We will have to get that door open again if we want to escape this place!,哦不！如果我们想逃离这里，必须再次打开那扇门！,,,,,,
NETMESSAGE:End of Part A - Loading Part B...,第一部分结束 - 正在加载第二部分……,,,,,,
NETMESSAGE:Chapter 1 \nTrapped Like a Rat,第一章 \n困鼠入瓮,,,,,,
NETMESSAGE:Chapter 2 \nSafety hood Crisis,第二章 \n安全罩危机,,,,,,
NETMESSAGE:Chapter 3 \nSecurity Level 4,第三章 \n四级安全权限,,,,,,
