Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:WELL DONE! RICHARD BODERMAN HAS BEEN DEFEATED!,干得好！理查德·博德曼已被击败！,,,,,,
"NETMESSAGE: YOU HAVE DESTROYED THE MAJORITY OF RICHARD BODERMAN'S ARMY, NOW PREPARE TO FACE THE MAN HIMSELF!",你已经摧毁了理查德·博德曼的大部分军队，现在准备亲自面对他本人！,,,,,,
NETMESSAGE:Objective:\nDestroy Richard Boderman's army and rescue the captured SvenCoop members.,目标：\n摧毁理查德·博德曼的军队并营救被俘的SvenCoop成员。,,,,,,
NETMESSAGE:Release the members from the prison cells that are inside of the caverns.,从洞穴内的牢房中释放成员。,,,,,,
NETMESSAGE:The cavern entrances can be found along the paths on the inner cliffsides.,洞穴入口可以在内崖壁的小路上找到。,,,,,,
NETMESSAGE:Destroy them all.,全部摧毁。,,,,,,
"NETMESSAGE:Also, The caverns are heavily guarded by brainwashed members of the SvenCoop Forums.",另外，洞穴由被洗脑的SvenCoop论坛成员严密守卫。,,,,,,
NETMESSAGE:Good luck and godspeed.,祝你好运，一路顺风。,,,,,,
NETMESSAGE:Use the Huey helicopter located at the helipad to gnaw away at their outer defenses.,使用停机坪上的Huey直升机来消耗他们的外围防御。,,,,,,
NETMESSAGE:A HIDDEN DOOR IS OPENING NEAR THE HELIPAD!,停机坪附近的一扇隐藏门正在打开！,,,,,,
NETMESSAGE:THE CONTROL ROOM DOORS ARE OPENING INSIDE THE PREVIOUSLY HIDDEN AREA! DESTROY BODERMAN!,控制室的门正在之前隐藏的区域内部打开！摧毁博德曼！,,,,,,
