Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:YOU FOUND A SECRET!!!,你发现了一个秘密！！！,,,,,,
NETMESSAGE:West grate door has opened,西边栅栏门已打开,,,,,,
NETMESSAGE:East grate door has opened,东边栅栏门已打开,,,,,,
NETMESSAGE:Primary objective: Find and destroy advanced weapon,主要目标：找到并摧毁先进武器,,,,,,
NETMESSAGE:Secondary objective: Destroy all ruins that are left in the village,次要目标：摧毁村庄中所有剩余的废墟,,,,,,
NETMESSAGE:Location: Ancient village in South America,地点：南美洲的古老村庄,,,,,,
NETMESSAGE:YOU FOUND A SECRET!!!,你发现了一个秘密！！！,,,,,,
NETMESSAGE:Secondary Objective Complete,次要目标已完成,,,,,,
NETMESSAGE:We have located the advanced weapons across this area,我们已定位这一地区的先进武器,,,,,,
NETMESSAGE:Your team's objective is to find and destroy these advanced weapons,你们队伍的目标是找到并摧毁这些先进武器,,,,,,
