Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:MISSION 1 - CLEAN UP DUTY,任务1 - 清理任务,,,,,,
"NETMESSAGE:Your first objective is to secure the nearby corridor, labs and reception. We can then think about counter attacking.",你的首要目标是确保附近走廊、实验室和接待处的安全。然后我们可以考虑反击。,,,,,,
NETMESSAGE:Greetings Sven Co-op Team. Thank you for responding to our call and coming to Black Mesa Sector EPF.,大家好，Sven Co-op团队。感谢你们响应我们的召唤，来到黑山基地EPF区域。,,,,,,
"NETMESSAGE:You need an alternative route. Fortunately, there is one, through the piping in Mr. Nibbles shark tank. Good luck!",你们需要另一条路线。幸运的是，有一条，通过尼布尔斯先生鲨鱼缸的管道。祝好运！,,,,,,
"NETMESSAGE:They are likely to be unwelcoming, so deal with them as you would any alien scum.",他们很可能不友好，所以像对付任何外星渣滓一样对付他们。,,,,,,
NETMESSAGE:Your next mission is to get back an infirmary that used to be ours. Unfortunately some rebels broke in and locked us out.,你们的下一个任务是夺回曾属于我们的医务室。不幸的是，一些叛军闯入并锁上了门。,,,,,,
NETMESSAGE:MISSION 2 - SWIMMING WITH THE FISHES,任务2 - 与鱼同游,,,,,,
NETMESSAGE:The doors will open in 30 seconds. Get ready.,门将在30秒后打开。做好准备。,,,,,,
"NETMESSAGE:They are planning to attack in their own time, but instead I will open the doors and let you give them a rain of bullets.",他们计划在合适的时候进攻，但我会打开门，让你们给他们一阵弹雨。,,,,,,
"NETMESSAGE:As I communicate this to you, grunts are gathering outside the main doors to our reception. I want you to surprise them.",在我向你们传达这个消息时，士兵们正在我们接待处的大门外集结。我要你们给他们一个惊喜。,,,,,,
NETMESSAGE:MISSION 3 - ANTI-AMBUSH,任务3 - 反伏击,,,,,,
NETMESSAGE:Excellent! Now we can heal our wounded (Use the panels above the beds to heal).,太好了！现在我们可以治疗伤员了（使用床上方的面板进行治疗）。,,,,,,
NETMESSAGE:MISSION 2 - SWIMMING WITH THE FISHES - MISSION ACCOMPLISHED,任务2 - 与鱼同游 - 任务完成,,,,,,
"NETMESSAGE:Nice one, you sure showed them a good counter-offensive!",干得好，你们确实给他们好好上了一课反攻！,,,,,,
NETMESSAGE:MISSION 3 - ANTI-AMBUSH - MISSION ACCOMPLISHED,任务3 - 反伏击 - 任务完成,,,,,,
"NETMESSAGE:As you are aware, the Black Mesa facility has witnessed a Resonance Cascade. Sector EPF has also been affected.",如你们所知，黑山设施发生了共振级联。EPF区域也受到了影响。,,,,,,
NETMESSAGE:MISSION 4 - EXTENDING THE DRAWBRIDGE,任务4 - 延伸吊桥,,,,,,
"NETMESSAGE:The next step is we need to fight our way to the surface for escape, however we need a way up there first.",下一步我们需要杀出一条路到地表逃生，不过我们需要先找到上去的方法。,,,,,,
"NETMESSAGE:The normal way to do this is to activate the bridge from the control room, however barney is no longer able to do this.",通常的方法是从控制室激活桥梁，但巴尼已经无法做到了。,,,,,,
"NETMESSAGE:You'll need to take a detour. Watch out, there are more rebels in this area, and security is unlikely to be welcoming.",你们需要绕道。小心，这个区域有更多叛军，安保人员也不太可能友好。,,,,,,
NETMESSAGE:MISSION 4 - EXTENDING THE DRAWBRIDGE - MISSION ACCOMPLISHED,任务4 - 延伸吊桥 - 任务完成,,,,,,
NETMESSAGE:Nice work. Now head up the stairs - a chopper is waiting to evacuate you out.,干得好。现在上楼——一架直升机正等着撤离你们。,,,,,,
NETMESSAGE:MISSION 1 - CLEAN UP DUTY - MISSION ACCOMPLISHED,任务1 - 清理任务 - 任务完成,,,,,,
NETMESSAGE:Good work! Those filthy roaches will think twice before invading us again!,干得好！那些肮脏的蟑螂再想入侵我们之前得三思了！,,,,,,
NETMESSAGE:BLACK MESA SECTOR EPF - MISSION ACCOMPLISHED,黑山基地EPF区域 - 任务完成,,,,,,
"NETMESSAGE:Good work team, the sector has been cleansed, and an escape route forged. Head back to base.",干得好团队，该区域已被清理，逃生路线也已打通。返回基地。,,,,,,
"NETMESSAGE:Don't get too comfortable though, I don't think this is the last we'll see of Black Mesa...",不过别太放松，我不认为这是我们最后一次见到黑山……,,,,,,
NETMESSAGE:COMMUNICATIONS UPDATING - BRIEFING WILL BEGIN IN 30 SECONDS,通讯更新中 - 简报将在30秒后开始,,,,,,
"NETMESSAGE:That laser system is blocking the way. You can either blow  the fuse panel, or reset it.",那个激光系统挡住了路。你可以炸掉保险丝面板，或者重置它。,,,,,,
"NETMESSAGE:If you reset it, security will be disengaged and any future robogrunts will fight on your side. Your call.",如果你重置它，安保系统将解除，任何未来的机器人步兵都会站在你这边。你来决定。,,,,,,
