Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:The wash cycle is over. Time to put the clothes in the dryer.,洗涤周期结束。该把衣服放进烘干机了。,,,,,,
NETMESSAGE:The clothes are dry. Time to pack up and go home.,衣服干了。该收拾东西回家了。,,,,,,
NETMESSAGE:The clothes are in the wash. Now I wait.,衣服正在洗。现在我等着。,,,,,,
NETMESSAGE:The clothes are in the dryer. Now I wait.,衣服在烘干机里。现在我等着。,,,,,,
NETMESSAGE:Good Luck,祝你好运,,,,,,
NETMESSAGE:Room 19 is now unlocked,19号房间现已解锁,,,,,,
NETMESSAGE:Room 18 is now unlocked,18号房间现已解锁,,,,,,
NETMESSAGE:Room 17 is now unlocked,17号房间现已解锁,,,,,,
NETMESSAGE:Room 16 is now unlocked,16号房间现已解锁,,,,,,
NETMESSAGE:Room 15 is now unlocked,15号房间现已解锁,,,,,,
NETMESSAGE:Room 13 is now unlocked,13号房间现已解锁,,,,,,
NETMESSAGE:Room 20 is now unlocked,20号房间现已解锁,,,,,,
NETMESSAGE:Room 14 is now unlocked,14号房间现已解锁,,,,,,
NETMESSAGE:Room 21 is now unlocked,21号房间现已解锁,,,,,,
NETMESSAGE:Room 22 is now unlocked,22号房间现已解锁,,,,,,
NETMESSAGE:Room 24 is now unlocked,24号房间现已解锁,,,,,,
NETMESSAGE:Room 25 is now unlocked,25号房间现已解锁,,,,,,
NETMESSAGE:Room 30 is now unlocked,30号房间现已解锁,,,,,,
NETMESSAGE:Room 27 is now unlocked,27号房间现已解锁,,,,,,
NETMESSAGE:Room 28 is now unlocked,28号房间现已解锁,,,,,,
NETMESSAGE:Room 26 is now unlocked,26号房间现已解锁,,,,,,
NETMESSAGE:Room 10 is now unlocked,10号房间现已解锁,,,,,,
NETMESSAGE:Room 9 is now unlocked,9号房间现已解锁,,,,,,
NETMESSAGE:Room 8 is now unlocked,8号房间现已解锁,,,,,,
NETMESSAGE:Room 7 is now unlocked,7号房间现已解锁,,,,,,
NETMESSAGE:Rooms 2 and 6 are now unlocked,2号和6号房间现已解锁,,,,,,
NETMESSAGE:Room 3 is now unlocked,3号房间现已解锁,,,,,,
NETMESSAGE:Room 4 is now unlocked,4号房间现已解锁,,,,,,
NETMESSAGE:Room 5 is now unlocked,5号房间现已解锁,,,,,,
NETMESSAGE:Room 12 is now unlocked,12号房间现已解锁,,,,,,
NETMESSAGE:The only friendly NPC on the map has been killed. . .,地图上唯一的友好NPC已被杀死...,,,,,,
NETMESSAGE:Why would you do this? Do you expect a reward?,你为什么这么做？你指望得到奖励吗？,,,,,,
NETMESSAGE:Fine. Have your just desserts. . .,好吧。该你自食其果了...,,,,,,
