Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Old enemies have been killed automatically,旧敌已被自动击杀,,,,,,
NETMESSAGE:Enemies are spawning in the Mixing Sector,敌人在混合区刷新,,,,,,
NETMESSAGE:Enemies are spawning in the Grinding Sector,敌人在研磨区刷新,,,,,,
NETMESSAGE:Enemies are spawning in the Packing Sector,敌人在包装区刷新,,,,,,
NETMESSAGE:The rifts between the two worlds became too numerous and the worlds merged together. It took a while for humanity to adjust.,两个世界之间的裂痕变得太多，最终世界融合在一起。人类花了一段时间才适应。,,,,,,
NETMESSAGE:All core drainage valves have been turned. Phew!,所有核心排水阀都已转动。呼！,,,,,,
NETMESSAGE:Grinder done.,研磨完成。,,,,,,
NETMESSAGE:Mixer done.,混合完成。,,,,,,
NETMESSAGE:Packing done. Batches produced:,包装完成。已生产批次：,,,,,,
NETMESSAGE:A rift has opened.,一道裂痕打开了。,,,,,,
NETMESSAGE:A rift has been closed.,一道裂痕已关闭。,,,,,,
NETMESSAGE:Grinders have been sabotaged!,研磨机被破坏了！,,,,,,
NETMESSAGE:Mixers have been sabotaged!,混合机被破坏了！,,,,,,
NETMESSAGE:Packing has been sabotaged! The control panel and the greasing machine must be repaired.,包装被破坏了！必须修复控制面板和润滑机。,,,,,,
NETMESSAGE:Packing has been repaired!,包装已修复！,,,,,,
NETMESSAGE:A grinder has been repaired!,一台研磨机已修复！,,,,,,
NETMESSAGE:A mixer has been repaired!,一台混合机已修复！,,,,,,
NETMESSAGE:Difficulty not selected.,未选择难度。,,,,,,
NETMESSAGE:Player max HP will drop until the situation is dealt with. This is your top priority!,玩家最大生命值将持续下降，直到情况得到处理。这是你的首要任务！,,,,,,
NETMESSAGE:The generator has been sabotaged! All machines will work at half speed!,发电机被破坏了！所有机器将以半速运行！,,,,,,
NETMESSAGE:The generator has been repaired!,发电机已修复！,,,,,,
NETMESSAGE:The workday begins...,工作日开始了...,,,,,,
"NETMESSAGE:Having lost the liquid required to keep his factory running, and being frustrated by the incompetence of his employees,",由于失去了维持工厂运转所需的液体，并且对员工的无能感到沮丧，,,,,,,
NETMESSAGE:Maxwell decided to doom humanity.,麦克斯韦决定毁灭人类。,,,,,,
NETMESSAGE:The entire factory collapsed on itself as the pillars crumbled from the damage they had taken.,整个工厂因支柱受到损坏而坍塌，自行崩塌。,,,,,,
"NETMESSAGE:As the factory collapsed, the two worlds immediately merged together. It wasn't pretty.",工厂坍塌时，两个世界立即融合在一起。场景并不美观。,,,,,,
"NETMESSAGE:The production goal was reached that day and a respectable paycheck was earned. The workers kept their jobs for several weeks,",那天达到了生产目标，并获得了一笔可观的薪水。工人们保住了几周的工作，,,,,,,
NETMESSAGE:until their inevitable replacement with a new and more effective batch of Wee Lads.,直到他们不可避免地被一批新的、更高效的“小仔”取代。,,,,,,
NETMESSAGE:Intro and briefing skipped. Good luck.,跳过介绍和简报。祝你好运。,,,,,,
