Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:You've picked a GasMask.,你捡到了一个防毒面具。,,,,,,
"NETMESSAGE:Barney:Thanks a lot,if you need some items or weapons.\n Go to the storage room,I'll open for you.\n( + 100 Team Points )",Barney:非常感谢，如果你需要一些物品或武器。\n 去储藏室，我会为你开门。\n( + 100 团队积分 ),,,,,,
"NETMESSAGE:Barney:Hey there,I've lost my WeaponBox and AmmoPack,\n Maybe you can help me find them all?",Barney:嘿，我丢了武器箱和弹药包，\n 也许你可以帮我找到它们？,,,,,,
NETMESSAGE:You've picked an WeaponBox.\n But it's so heavy! \n ( Move speed -60% ),你捡到了一个武器箱。\n 但这太重了！\n ( 移动速度 -60% ),,,,,,
NETMESSAGE:You've picked an AmmoPack.\n But it's so heavy! \n ( Move speed -60% ),你捡到了一个弹药包。\n 但这太重了！\n ( 移动速度 -60% ),,,,,,
NETMESSAGE:You've picked a Battery.,你捡到了一个电池。,,,,,,
NETMESSAGE:Vortigaunt:Wanna open that door? \n Give me a battery.,Vortigaunt:想打开那扇门吗？\n 给我一个电池。,,,,,,
NETMESSAGE:Scientist:If you give me a pack of candy.\n I can open something good for you.,Scientist:如果你给我一包糖果。\n 我可以为你打开一些好东西。,,,,,,
NETMESSAGE:You've picked a pack of Candy.,你捡到了一包糖果。,,,,,,
"NETMESSAGE:Scientist:You did well,Oh I have some Iron shoes.\n If you need,take them.\n( + 100 Team Points )",Scientist:你做得很好，哦，我有一些铁鞋。\n 如果你需要，拿去吧。\n( + 100 团队积分 ),,,,,,
NETMESSAGE:You've picked IronShoes.\n But it's not good for walking.\n ( Move speed -50% ),你捡到了铁鞋。\n 但这不适合走路。\n ( 移动速度 -50% ),,,,,,
NETMESSAGE:Zombie-Cook :It's Done! enjoy your meal.\n( + 100 Team Points ),Zombie-Cook:做好了！请享用你的大餐。\n( + 100 团队积分 ),,,,,,
"NETMESSAGE:Zombie-Cook: Find some food materials to me, \n I can cook a meal for you.",Zombie-Cook: 给我找一些食材，\n 我可以为你做一顿饭。,,,,,,
NETMESSAGE:You've picked a pack of Beans.,你捡到了一包豆子。,,,,,,
NETMESSAGE:You've picked a pack of Sausage.,你捡到了一包香肠。,,,,,,
NETMESSAGE:You've picked a Blue-Pumpkin.,你捡到了一个蓝色南瓜。,,,,,,
NETMESSAGE:You've picked a Red-Pumpkin.,你捡到了一个红色南瓜。,,,,,,
NETMESSAGE:You've picked a Green-Pumpkin.,你捡到了一个绿色南瓜。,,,,,,
NETMESSAGE:You've picked a Violet-Pumpkin.,你捡到了一个紫色南瓜。,,,,,,
NETMESSAGE:You've returned a Blue-Pumpkin.\n( + 50 Team Points ),你归还了一个蓝色南瓜。\n( + 50 团队积分 ),,,,,,
NETMESSAGE:You've returned a Red-Pumpkin.\n( + 50 Team Points ),你归还了一个红色南瓜。\n( + 50 团队积分 ),,,,,,
NETMESSAGE:You've returned a Green-Pumpkin.\n( + 50 Team Points ),你归还了一个绿色南瓜。\n( + 50 团队积分 ),,,,,,
NETMESSAGE:You've returned a Violet-Pumpkin.\n( + 50 Team Points ),你归还了一个紫色南瓜。\n( + 50 团队积分 ),,,,,,
NETMESSAGE:This place is full of toxic miasma.,这个地方充满了有毒的瘴气。,,,,,,
NETMESSAGE:The floor is full of thorns.,地板上满是荆棘。,,,,,,
NETMESSAGE:It seems that there are other 4 pumpkins missing on the wall.,看起来墙上还缺少另外4个南瓜。,,,,,,
NETMESSAGE:You have retruned all pumpkins!,你已经归还了所有南瓜！,,,,,,
NETMESSAGE:You've picked a Copper-key.,你捡到了一把铜钥匙。,,,,,,
NETMESSAGE:You've picked a Silver-key.,你捡到了一把银钥匙。,,,,,,
NETMESSAGE:Game will ending in 100s.,游戏将在100秒后结束。,,,,,,
NETMESSAGE:Thx for playing! >w<,感谢游玩！>w<,,,,,,
NETMESSAGE:Map made by GreenTea (>w<),地图由GreenTea制作 (>w<),,,,,,
"NETMESSAGE:G-Man:What ever,I'll get the hell out of here right now.",G-Man:不管怎样，我现在就离开这个鬼地方。,,,,,,
NETMESSAGE:G-Man:Maybe they are coming for you.,G-Man:也许他们是来找你的。,,,,,,
"NETMESSAGE:G-Man:Oh,what?! Those zombies wanna join to our party!?",G-Man:哦，什么？！那些僵尸想加入我们的派对！？,,,,,,
NETMESSAGE:G-Man:Welcome to join our Halloween feast !,G-Man:欢迎加入我们的万圣节盛宴！,,,,,,
"NETMESSAGE:G-Man:Finally,you are here!",G-Man:终于，你来了！,,,,,,
NETMESSAGE:You've returned a WeaponBox to Barney.,你把武器箱归还给了Barney。,,,,,,
NETMESSAGE:You've returned an AmmoPack to Barney.,你把弹药包归还给了Barney。,,,,,,
NETMESSAGE:You've got a Battery to Vortigaunt.,你把一个电池交给了Vortigaunt。,,,,,,
NETMESSAGE:You've got a pack of Candy to Scientist.,你把一包糖果交给了Scientist。,,,,,,
NETMESSAGE:You've got a pack of Beans to Zombie-Cook.,你把一包豆子交给了Zombie-Cook。,,,,,,
NETMESSAGE:You've got a pack of Sausage to Zombie-Cook.,你把一包香肠交给了Zombie-Cook。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
NETMESSAGE:You've found a secret.,你发现了一个秘密。,,,,,,
