Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
NETMESSAGE:Security door opened,安全门打开了,,,,,,
NETMESSAGE:Track changed,轨道方向已变更,,,,,,
NETMESSAGE:A security card is needed to open the door,打开这扇门需要一张安全卡,,,,,,
NETMESSAGE:You found a security card,你找到了一张安全卡,,,,,,
NETMESSAGE:There is nothing on this corpse,这具尸体上什么也没有,,,,,,
NETMESSAGE:A key is needed,需要一把钥匙,,,,,,
NETMESSAGE:You found the maintenance key,你找到了维护钥匙,,,,,,
NETMESSAGE:There must be a way to destroy this pipe and flood the area\n\nMaybe by using that truck ?,一定有办法破坏这个管道，让水淹没这片区域\n\n或许可以试试用轨道车撞开？,,,,,,
NETMESSAGE:Perhaps we could use the fallen wire to kill the mutant,或许我们可以利用掉落的电缆来击杀变异怪物,,,,,,
NETMESSAGE:Water is now flowing through this pipe.\n\nCould it be used for something ?,这根管道中有水流过，或许可以拿来利用一下？,,,,,,
"NETMESSAGE:The truck is locked, there must be another way to make it move...",轨道车被锁住了，一定有其他办法让它动起来...,,,,,,
NETMESSAGE:Security door Opened,安全打开了,,,,,,
