Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Objective completed, proceed to repair bay",任务完成，前往维修舱。,,,,,,
"NETMESSAGE:Robot data downloaded, destroy it and proceed to pickup point.",机器人数据已下载，摧毁它并前往接送点。,,,,,,
NETMESSAGE:It's been moved away. Seek and destroy.,它已被转移。搜索并摧毁。,,,,,,
"NETMESSAGE:Make haste, military is also on the move.",加快行动，军方也在移动。,,,,,,
"NETMESSAGE:Target escaped, abort mission!",目标逃脱，任务中止！,,,,,,
NETMESSAGE:Theres another train. It should lead to surface. Move!,还有一列火车，它应该通往地表。行动！,,,,,,
NETMESSAGE:Return to HQ ASAP. There's no time to waste.,立即返回总部。分秒必争。,,,,,,
NETMESSAGE:Its heading for the trains! Hurry!,它正朝火车方向去！快！,,,,,,
NETMESSAGE:Somethings wrong... I'm getting strange readings from below.,出问题了……下方传来异常读数。,,,,,,
NETMESSAGE:Mission accomplished.,任务完成。,,,,,,
