Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:SCI: Seems our visit has made them a bit paranoid, and they are denying access to\nevery part of the facility.",SCI: 看来我们的来访让他们有点多疑，他们正在拒绝进入\n设施的每一个部分。,,,,,,
"NETMESSAGE:SCI: The main entrance to the biolab is shut, try finding a back entrance through the\nstorage complex below.",SCI: 生物实验室的主入口被关闭了，尝试通过下方的\n储存区找一个后门进去。,,,,,,
"NETMESSAGE:SCI: Hack those computers for us, once SCI has an uplink maybe we can find out what\nthose things were.",SCI: 帮我们入侵那些电脑，一旦SCI建立了上行链路，也许我们能搞清楚\n那些东西是什么。,,,,,,
NETMESSAGE:SCI: OMFG they are experimenting on headcrabs to create super soldiers and those\nthings you encountered were the prototype.,SCI: 卧槽！他们正在用头蟹做实验来制造超级士兵，而你遇到的那些\n东西就是原型。,,,,,,
NETMESSAGE:Your new mission is to stop the headcrab virus production in the reactor room.,你的新任务是阻止反应堆室内的头蟹病毒生产。,,,,,,
NETMESSAGE:You'll have to find a way to the security control room and deactivate the lockdown.,你必须找到通往安全控制室的路并解除封锁。,,,,,,
"NETMESSAGE:SCI: Good work, but now they have managed to barricade the reactor room. Looks like\nyou need to find another way in.",SCI: 干得好，但现在他们已经设法封锁了反应堆室。看来\n你需要另找一条路进去。,,,,,,
"NETMESSAGE:SCI: There should be a control panel somewhere, destroy it to disable the reactors.",SCI: 某处应该有个控制面板，摧毁它以停用反应堆。,,,,,,
"NETMESSAGE:SCI: Good, now head towards the distillation plant and eliminate all resistance.",SCI: 很好，现在前往蒸馏厂并消灭所有抵抗。,,,,,,
NETMESSAGE:SCI: Mission accomplished. Get to the extraction point for evac.,SCI: 任务完成。前往撤离点进行撤离。,,,,,,
"NETMESSAGE:SCI: Shit they killed the evac, you're on your own now...",SCI: 操，他们干掉了撤离队伍，现在你只能靠自己了……,,,,,,
"NETMESSAGE:SCI: You narrowly escaped assassination, nice work again SCI team.",SCI: 你侥幸躲过了暗杀，干得好，SCI小队再次立功。,,,,,,
"NETMESSAGE:Uploading data to SCI, please stand by...",正在向SCI上传数据，请稍候……,,,,,,
NETMESSAGE:Upload complete.,上传完成。,,,,,,
NETMESSAGE:Thanks for playing sc_reflux by g1l a.k.a. venomus - http://www.svencoop.com/forums,感谢游玩sc_reflux，作者g1l aka venomus - http://www.svencoop.com/forums,,,,,,
