Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:OBJECTIVE\nFind and rescue VIP hostage: Sven Viking.\nThe facility's head scientist is dead.\nWithout his vital intel the search is a long shot, but you must try!",目标\n找到并营救VIP人质：Sven Viking。\n设施的首席科学家已死亡。\n没有他的关键情报，搜索希望渺茫，但你务必一试！,,,,,,
NETMESSAGE:Sven Viking: \nAt last someone here to rescue me. The G-Man locked me up in here.\nThe aliens attacked and everyone escaped through a portal.\nWould you get me out of here so we can leave this place?\nYou will need to find the keycard for it though.,Sven Viking: \n终于有人来救我了。G-Man把我关在这里。\n外星人袭击了，大家都通过传送门逃走了。\n你能带我离开这里，我们好一起走吗？\n不过你得先找到开门的钥匙卡。,,,,,,
NETMESSAGE:The smudged retinal scanner may still be working.\nBut it requires an authorized eye...,模糊的视网膜扫描器可能还能工作。\n但它需要一只授权者的眼睛……,,,,,,
NETMESSAGE:Guard's head has been collected.,守卫的头已被收集。,,,,,,
NETMESSAGE:Guard's head has been dropped.,守卫的头已被丢弃。,,,,,,
NETMESSAGE:Guard's head has returned.,守卫的头已返回。,,,,,,
NETMESSAGE:Guard's head has been used.,守卫的头已被使用。,,,,,,
NETMESSAGE:The body has a bloody improvised recorder. Playing it now...,尸体上有一个血迹斑斑的简易录音机。正在播放……,,,,,,
"NETMESSAGE:Sven Viking (recording): \nSven Co-op team. When you find this I will be dead.\nAfter G-Man captured me the soldiers had to open a portal to escape the sudden alien invasion,\nbut somehow the coordinates got screwed up. So they let me out of my cell to help them.",Sven Viking（录音）：\nSven Co-op小队。当你们找到这个时，我已经死了。\n在G-Man抓住我之后，士兵们不得不打开一个传送门以逃离突如其来的外星入侵，\n但不知怎么搞的，坐标搞乱了。所以他们把我放出牢房来帮忙。,,,,,,
"NETMESSAGE:Sven Viking (recording): \nWe managed to close the portal, but some of those things had already gotten in,\nkilling everything, aliens and humans alike... until I was the last one alive.\nI will lure them to the elevator and trap them there.",Sven Viking（录音）：\n我们设法关上了传送门，但有些东西已经进来了，\n杀死了所有东西，外星人和人类都一样……直到我是最后一个活着的。\n我会把它们引到电梯里，把它们困在那里。,,,,,,
NETMESSAGE:Sven Viking (recording): \nI have set the system to activate the exit portal once all non-human lifeforms are dead...\nYou will have to destroy them. Sniper should take command after I'm gone.,Sven Viking（录音）：\n我已经设定了系统，一旦所有非人类生命体死亡就会激活出口传送门……\n你们必须摧毁它们。我死后，狙击手应该接手指挥。,,,,,,
"NETMESSAGE:Sven Viking (recording): \nI'm afraid this may be worse than the alien invasion. This is something else.\nIf they get out, who knows what could happen to the world...\nbut be it aliens, soldiers or demons... do not let them take whats ours, men!",Sven Viking（录音）：\n恐怕这比外星入侵更糟。这是别的东西。\n如果它们逃出去，谁知道世界会变成什么样……\n但不管是外星人、士兵还是恶魔……别让它们夺走我们的东西，伙计们！,,,,,,
NETMESSAGE:Darkness is us,黑暗就是我们,,,,,,
NETMESSAGE:We have no shape,我们没有形状,,,,,,
NETMESSAGE:Outerbeast: \nI've been summoned for a greater purpose. Hoarders must suffer.,Outerbeast：\n我被召唤是为了一个更伟大的目的。囤积者必须受苦。,,,,,,
NETMESSAGE:Distorted radio interference: \nResponsible - - wear - - E.V. suit - - all - - shoot on sight - -,失真的无线电干扰：\n负责人 - - 穿戴 - - E.V.防护服 - - 所有人 - - 见则射杀 - -,,,,,,
NETMESSAGE:Chungo - They Live \nby who_is_naven_r_johnson \nconversion and ripent by Garompa,Chungo - They Live \n由 who_is_naven_r_johnson 制作 \n转换和 ripent 由 Garompa,,,,,,
NETMESSAGE:Spawn points updated.,重生点已更新。,,,,,,
NETMESSAGE:Silo door security code acquired.,已获取筒仓门安全码。,,,,,,
