Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
"NETMESSAGE:Sven Viking:\nThe situation is dire, agent Sniper.\nAs second in command I want you to take charge of this operation.\nI'm executing order 1 - 3 - 3 - 7 - Divide - Zero... OPERATION BLACK THUNDER.",斯文·维京：\n形势危急，狙击手特工。\n作为副指挥官，我希望你接管这次行动。\n我正在执行命令 1 - 3 - 3 - 7 - 划分 - 零... 黑色雷霆行动。,,,,,,
"NETMESSAGE:Sven Viking:\nThe alien menace at Black Mesa has to be stopped,\nbut the technology in there is the key to do it.",斯文·维京：\n黑山的外星威胁必须被阻止，\n但那里的技术才是实现这一目标的关键。,,,,,,
NETMESSAGE:Sven Viking:\nThe scientists working there are the only ones\nwho can help us come up with a plan to stop this.,斯文·维京：\n在那工作的科学家是唯一\n能帮我们制定计划阻止这一切的人。,,,,,,
"NETMESSAGE:Sven Viking:\nWe sent our key assets, the commandos of the Secret Assault Crew,\nto help and rescue the important personnel and they have delivered.",斯文·维京：\n我们派出了关键资产——秘密突击队的突击队员，\n去帮助并营救重要人员，他们不负使命。,,,,,,
NETMESSAGE:Sven Viking:\nBut now the government has decided to destroy the facility.\nThis will NOT close the dimensional breach.,斯文·维京：\n但现在政府决定摧毁该设施。\n这不会关闭维度裂缝。,,,,,,
"NETMESSAGE:Sven Viking:\nTheir higher ups have probably been influenced by the so called G-Man,\nwho we know is not human, and the one behind all of this,\nso they will be hostile.",斯文·维京：\n他们的上级很可能已被所谓的G-Man影响，\n我们知道他不是人类，而且是这一切的幕后黑手，\n所以他们会充满敌意。,,,,,,
"NETMESSAGE:Sven Viking:\nThis is when your team will come in.\nWe will be going all in, a frontal assault at the enemy force, both human and alien alike.",斯文·维京：\n这时你的团队将介入。\n我们将全力以赴，对敌军——无论是人类还是外星人——发动正面突击。,,,,,,
NETMESSAGE:Sven Viking:\nAll our men will be deployed in squads at key locations\nto stop the military from destroying Black Mesa.\nHopefully also gain control of it.,斯文·维京：\n我们所有的人将分组成小队部署在关键地点，\n以阻止军方摧毁黑山。\n希望能同时控制住局面。,,,,,,
NETMESSAGE:Sven Viking:\nThis should buy enough time for the\nscientists to find a way to stop the aliens.,斯文·维京：\n这应该能为\n科学家们争取到足够的时间，找到阻止外星人的方法。,,,,,,
NETMESSAGE:Sven Viking:\nI want you to assemble the D.E.V. Team again. Call the best men we've got.\nCall the old dogs if you have to. Call everyone. Split them into four squads.,斯文·维京：\n我要你重新召集D.E.V.小队。召集我们能找到的最好的人。\n必要时把老将也叫上。叫上所有人。把他们分成四个小队。,,,,,,
NETMESSAGE:Sven Viking:\nYou will be in charge of a fifth squad: Rage Squad.\nOur main plan...,斯文·维京：\n你将指挥第五小队：狂怒小队。\n我们的主要计划...,,,,,,
"NETMESSAGE:Sven Viking:\nYour mission is to take an osprey, pick up the S.Ass. Crew from their current position at Black Mesa\nand drop them off at the designated checkpoint for reinfiltration.",斯文·维京：\n你的任务是乘坐一架鱼鹰，从黑山当前位置接上S.Ass. Crew，\n并将他们投送至指定检查点以便再次潜入。,,,,,,
NETMESSAGE:Sven Viking:\nAfter they have infiltrated the facility\nyou will join the other squads and push the enemy with reinforcements.,斯文·维京：\n在他们潜入设施后，\n你将加入其他小队，并带领增援部队向敌人推进。,,,,,,
"NETMESSAGE:Sven Viking:\nGet prepped, we leave at 0900 sharp.\nDismissed.",斯文·维京：\n做好准备，我们0900准时出发。\n解散。,,,,,,
NETMESSAGE:Sven Viking:\nAnd remember... if Black Mesa is destroyed before we can close the breach...\neverything is lost... Everything...,斯文·维京：\n记住... 如果黑山在我们关闭裂缝之前被摧毁...\n一切都完了... 一切...,,,,,,
NETMESSAGE:Waiting for players... (15 seconds),等待玩家加入...（15秒）,,,,,,
